No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Category
1,restaurants near me,16600000,6,2422770.0,$0.16,6,49,https://www.tripadvisor.in/Restaurants,Unknown,Unknown,Unknown,Restaurant
2,hotel,13600000,12,267920.0,$0.46,5,83,https://www.tripadvisor.in/Hotels,Unknown,Unknown,Unknown,Hotel
3,hotel near me,9140000,9,375180.0,$0.18,15,35,https://www.tripadvisor.in/Hotels-g3976771-Virudhunagar_Virudhunagar_District_Tamil_Nadu-Hotels.html,Unknown,Unknown,Unknown,Hotel
4,hotels near me,9140000,15,125430.0,$0.17,16,76,https://www.tripadvisor.in/Hotels-g2617033-Kalyan_Thane_District_Maharashtra-Hotels.html,Unknown,Unknown,Unknown,Hotel
5,restaurants,11100000,7,889322.0,$0.29,2,61,https://www.tripadvisor.in/Restaurants-g297634-Kottayam_Kottayam_District_Kerala.html,Unknown,Unknown,Unknown,Restaurant
6,restaurant,11100000,7,889322.0,$0.22,1,53,https://www.tripadvisor.in/RestaurantsNear-g297623-d15273954-My_Kashmir_Home-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html,Unknown,Unknown,Unknown,Restaurant
7,indigo,2740000,8,92612.0,$0.15,36,71,https://www.tripadvisor.in/Airline_Review-d8729090-Reviews-IndiGo,Unknown,Unknown,Unknown,Unknown
8,mcdonald's,2740000,21,13974.0,$0.19,5,62,https://www.tripadvisor.in/Restaurant_Review-g304551-d5905510-Reviews-McDonald_s-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Restaurant
9,barcelona,2740000,58,4704.0,$0.96,1,60,https://www.tripadvisor.in/Attractions-g187497-Activities-Barcelona_Catalonia.html,Unknown,Unknown,Unknown,Bar
10,kfc,2240000,17,20384.0,$0.17,4,62,https://www.tripadvisor.in/Restaurant_Review-g297586-d5903819-Reviews-KFC-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Restaurant
11,spa near me,2240000,11,57344.0,$0.31,30,52,https://www.tripadvisor.in/Attractions-g306992-Activities-c40-Anjuna_Bardez_North_Goa_District_Goa.html,Unknown,Unknown,Unknown,Bar
12,cafe near me,2240000,5,362880.0,$0.13,11,60,https://www.tripadvisor.in/Restaurants-g667805-c8-Kanpur_Kanpur_Nagar_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Restaurant
13,milan day,2240000,10,33600.0,$0,1,47,https://www.tripadvisor.in/Attraction_Review-g187849-d8489232-Reviews-Milan_Day_Trips-Milan_Lombardy.html,Unknown,Unknown,Unknown,Bar
14,swiggy,2240000,27,4704.0,$0.13,11,64,https://www.tripadvisor.in/Restaurant_Review-g297628-d27144044-Reviews-or45-Swiggy-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Restaurant
15,cafes near me,2240000,5,362880.0,$0.21,12,46,https://www.tripadvisor.in/Restaurants-g667805-c8-Kanpur_Kanpur_Nagar_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Restaurant
16,bangalore airport,1830000,24,6039.0,$0.23,1,34,https://www.tripadvisor.in/Attraction_Review-g297628-d27181308-Reviews-Terminal_2_Bangalore_Airport-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
17,delhi,1830000,16,20679.0,$0.20,1,75,https://www.tripadvisor.in/Tourism-g304551-New_Delhi_National_Capital_Territory_of_Delhi-Vacations.html,Unknown,Unknown,Unknown,Unknown
18,majestic,1500000,34,3843.0,$0,4,62,https://www.tripadvisor.in/Attractions-g297628-Activities-zfn13087468-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
19,kalyan,1830000,19,9333.0,$0.01,1,61,https://www.tripadvisor.in/Tourism-g2617033-Kalyan_Thane_District_Maharashtra-Vacations.html,Unknown,Unknown,Unknown,Unknown
20,jaipur,1500000,10,70350.0,$0.12,1,61,https://www.tripadvisor.in/Tourism-g304555-Jaipur_Jaipur_District_Rajasthan-Vacations.html,Unknown,Unknown,Unknown,Unknown
21,hyderabad,1500000,14,29550.0,$0.36,1,93,https://www.tripadvisor.in/Tourism-g297586-Hyderabad_Hyderabad_District_Telangana-Vacations.html,Unknown,Unknown,Unknown,Unknown
22,attractions,1830000,11,70350.0,$0.45,1,60,https://www.tripadvisor.in/Attractions-g304554-Activities-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
23,pune,1220000,21,8850.0,$0.46,2,61,https://www.tripadvisor.in/Tourism-g297654-Pune_Pune_District_Maharashtra-Vacations.html,Unknown,Unknown,Unknown,Unknown
24,haridwar,1500000,12,38400.0,$0.43,1,44,https://www.tripadvisor.in/Tourism-g616028-Haridwar_Haridwar_District_Uttarakhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
25,charminar hyderabad,1500000,10,70350.0,$0.11,7,50,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
26,tirupati,1500000,15,16950.0,$1.17,2,61,https://www.tripadvisor.in/Attraction_Review-g297587-d1220147-Reviews-Tirumala_Temple-Tirupati_Chittoor_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
27,kashmiri gate,1220000,23,4950.0,$0.08,3,48,https://www.tripadvisor.in/Attraction_Review-g304551-d15676547-Reviews-Kashmiri_Gate-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
28,hyderabad charminar,12100,12,70350.0,$0,5,43,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
29,ahmedabad,1500000,10,70350.0,$0.41,2,78,https://www.tripadvisor.in/Tourism-g297608-Ahmedabad_Ahmedabad_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
30,daman game,5000000,17,6450.0,$0,1,47,https://www.tripadvisor.in/Attraction_Review-g297600-d32722305-Reviews-Daman_Game-Daman_Daman_and_Diu.html,Unknown,Unknown,Unknown,Unknown
31,charminar,1220000,9,98850.0,$0.38,6,62,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
32,india gate,1500000,12,38400.0,$0.09,3,33,https://www.tripadvisor.in/Attraction_Review-g304551-d321493-Reviews-India_Gate-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
33,coffee shops near me,823000,6,145950.0,$0.33,2,22,https://www.tripadvisor.in/Restaurants-g304551-c8-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Restaurant
34,tirupati city,1600,14,22500.0,$0,1,55,https://www.tripadvisor.in/Attractions-g297587-Activities-Tirupati_Chittoor_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
35,new delhi,1830000,7,98850.0,$0.12,3,56,https://www.tripadvisor.in/Tourism-g304551-New_Delhi_National_Capital_Territory_of_Delhi-Vacations.html,Unknown,Unknown,Unknown,Unknown
36,phoenix market city,1220000,11,31232.0,$0.04,9,45,https://www.tripadvisor.in/Attraction_Review-g304554-d3410824-Reviews-Phoenix_Marketcity-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
37,lucknow,1220000,11,41236.0,$0.09,1,43,https://www.tripadvisor.in/Tourism-g297684-Lucknow_Lucknow_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
38,bengaluru,1220000,13,31232.0,$0.35,2,79,https://www.tripadvisor.in/Tourism-g297628-Bengaluru_Bangalore_District_Karnataka-Vacations.html,Unknown,Unknown,Unknown,Unknown
39,surat,1000000,12,24034.0,$0.90,1,61,https://www.tripadvisor.in/Tourism-g297612-Surat_Surat_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
40,hosur,1000000,7,118706.0,$0,6,62,https://www.tripadvisor.in/Attractions-g1102838-Activities-Hosur_Krishnagiri_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
41,lucknow uttar pradesh,1220000,13,24034.0,$0.09,1,45,https://www.tripadvisor.in/Attractions-g297684-Activities-Lucknow_Lucknow_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
