No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,Business Category,Product Category,Source,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
1,restaurants near me,16600000,6,2422770.0,$0.16,6,49,https://www.tripadvisor.in/Restaurants,,,,,,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,,,,1
2,hotel,13600000,12,267920.0,$0.46,5,83,https://www.tripadvisor.in/Hotels,,,,,,,Hotel,Accommodation,Accommodation,tripadvisor.in,,,,1
3,hotel near me,9140000,9,375180.0,$0.18,15,35,https://www.tripadvisor.in/Hotels-g3976771-Virudhunagar_Virudhunagar_District_Tamil_Nadu-Hotels.html,,Tamil Nadu,India,South,,,Hotel,Accommodation,Accommodation,tripadvisor.in,,,g3976771 virudhunagar virudhunagar district,1
4,hotels near me,9140000,15,125430.0,$0.17,16,76,https://www.tripadvisor.in/Hotels-g2617033-Kalyan_Thane_District_Maharashtra-Hotels.html,Kalyan,Maharashtra,India,West,Kalyan,,Hotel,Accommodation,Accommodation,tripadvisor.in,,,g2617033 thane district,1
5,restaurants,11100000,7,889322.0,$0.29,2,61,https://www.tripadvisor.in/Restaurants-g297634-Kottayam_Kottayam_District_Kerala.html,Kottayam,Kerala,India,South,Kottayam,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,,,g297634 district,1
6,restaurant,11100000,7,889322.0,$0.22,1,53,https://www.tripadvisor.in/RestaurantsNear-g297623-d15273954-My_Kashmir_Home-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html,Srinagar,Jammu and Kashmir,India,North,Srinagar,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,,,g297623 d15273954 my home district,1
7,indigo,2740000,8,92612.0,$0.15,36,71,https://www.tripadvisor.in/Airline_Review-d8729090-Reviews-IndiGo,,,,,,,,,,tripadvisor.in,indigo,,airline d8729090,1
8,mcdonald's,2740000,21,13974.0,$0.19,5,62,https://www.tripadvisor.in/Restaurant_Review-g304551-d5905510-Reviews-McDonald_s-New_Delhi_National_Capital_Territory_of_Delhi.html,New Delhi,Delhi,India,North,New Delhi,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,mcdonald,,g304551 d5905510 national capital territory,1
9,barcelona,2740000,58,4704.0,$0.96,1,60,https://www.tripadvisor.in/Attractions-g187497-Activities-Barcelona_Catalonia.html,,,,,,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,barcelona,,g187497 catalonia,1
10,kfc,2240000,17,20384.0,$0.17,4,62,https://www.tripadvisor.in/Restaurant_Review-g297586-d5903819-Reviews-KFC-Hyderabad_Hyderabad_District_Telangana.html,Hyderabad,Telangana,India,South,Hyderabad,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,kfc,,g297586 d5903819 district,1
11,spa near me,2240000,11,57344.0,$0.31,30,52,https://www.tripadvisor.in/Attractions-g306992-Activities-c40-Anjuna_Bardez_North_Goa_District_Goa.html,Anjuna,Goa,India,West,Anjuna,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,,,g306992 c40 bardez district,1
12,cafe near me,2240000,5,362880.0,$0.13,11,60,https://www.tripadvisor.in/Restaurants-g667805-c8-Kanpur_Kanpur_Nagar_District_Uttar_Pradesh.html,Kanpur,Uttar Pradesh,India,,Kanpur,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,,,g667805 c8 nagar district,1
13,milan day,2240000,10,33600.0,$0,1,47,https://www.tripadvisor.in/Attraction_Review-g187849-d8489232-Reviews-Milan_Day_Trips-Milan_Lombardy.html,,,,,,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,milan day,,g187849 d8489232 trips milan lombardy,1
14,swiggy,2240000,27,4704.0,$0.13,11,64,https://www.tripadvisor.in/Restaurant_Review-g297628-d27144044-Reviews-or45-Swiggy-Bengaluru_Bangalore_District_Karnataka.html,Bengaluru,Karnataka,India,South,Bengaluru,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,swiggy,,g297628 d27144044 or45 bangalore district,1
15,cafes near me,2240000,5,362880.0,$0.21,12,46,https://www.tripadvisor.in/Restaurants-g667805-c8-Kanpur_Kanpur_Nagar_District_Uttar_Pradesh.html,Kanpur,Uttar Pradesh,India,,Kanpur,,Restaurant,Food & Dining,Food & Dining,tripadvisor.in,,,g667805 c8 nagar district,1
16,bangalore airport,1830000,24,6039.0,$0.23,1,34,https://www.tripadvisor.in/Attraction_Review-g297628-d27181308-Reviews-Terminal_2_Bangalore_Airport-Bengaluru_Bangalore_District_Karnataka.html,Bengaluru,Karnataka,India,South,Bengaluru,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,bangalore airport,,g297628 d27181308 terminal bangalore district,1
17,delhi,1830000,16,20679.0,$0.20,1,75,https://www.tripadvisor.in/Tourism-g304551-New_Delhi_National_Capital_Territory_of_Delhi-Vacations.html,New Delhi,Delhi,India,North,New Delhi,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g304551 national capital territory,1
18,majestic,1500000,34,3843.0,$0,4,62,https://www.tripadvisor.in/Attractions-g297628-Activities-zfn13087468-Bengaluru_Bangalore_District_Karnataka.html,Bengaluru,Karnataka,India,South,Bengaluru,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,,,g297628 zfn13087468 bangalore district,1
19,kalyan,1830000,19,9333.0,$0.01,1,61,https://www.tripadvisor.in/Tourism-g2617033-Kalyan_Thane_District_Maharashtra-Vacations.html,Kalyan,Maharashtra,India,West,Kalyan,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g2617033 thane district,1
20,jaipur,1500000,10,70350.0,$0.12,1,61,https://www.tripadvisor.in/Tourism-g304555-Jaipur_Jaipur_District_Rajasthan-Vacations.html,Jaipur,Rajasthan,India,North,Jaipur,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g304555 district,1
21,hyderabad,1500000,14,29550.0,$0.36,1,93,https://www.tripadvisor.in/Tourism-g297586-Hyderabad_Hyderabad_District_Telangana-Vacations.html,Hyderabad,Telangana,India,South,Hyderabad,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g297586 district,1
22,attractions,1830000,11,70350.0,$0.45,1,60,https://www.tripadvisor.in/Attractions-g304554-Activities-Mumbai_Maharashtra.html,Mumbai,Maharashtra,India,West,Mumbai,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,,,g304554,1
23,pune,1220000,21,8850.0,$0.46,2,61,https://www.tripadvisor.in/Tourism-g297654-Pune_Pune_District_Maharashtra-Vacations.html,Pune,Maharashtra,India,West,Pune,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g297654 district,1
24,haridwar,1500000,12,38400.0,$0.43,1,44,https://www.tripadvisor.in/Tourism-g616028-Haridwar_Haridwar_District_Uttarakhand-Vacations.html,Haridwar,Uttarakhand,India,North,Haridwar,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g616028 district,1
25,charminar hyderabad,1500000,10,70350.0,$0.11,7,50,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html,Hyderabad,Telangana,India,South,Hyderabad,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,charminar,,g297586 d320668 district,1
26,tirupati,1500000,15,16950.0,$1.17,2,61,https://www.tripadvisor.in/Attraction_Review-g297587-d1220147-Reviews-Tirumala_Temple-Tirupati_Chittoor_District_Andhra_Pradesh.html,Tirupati,Andhra Pradesh,India,South,Tirupati,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,,,g297587 d1220147 tirumala temple chittoor district,1
27,kashmiri gate,1220000,23,4950.0,$0.08,3,48,https://www.tripadvisor.in/Attraction_Review-g304551-d15676547-Reviews-Kashmiri_Gate-New_Delhi_National_Capital_Territory_of_Delhi.html,New Delhi,Delhi,India,North,New Delhi,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,kashmiri gate,,g304551 d15676547 national capital territory,1
28,hyderabad charminar,12100,12,70350.0,$0,5,43,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html,Hyderabad,Telangana,India,South,Hyderabad,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,charminar,,g297586 d320668 district,1
29,ahmedabad,1500000,10,70350.0,$0.41,2,78,https://www.tripadvisor.in/Tourism-g297608-Ahmedabad_Ahmedabad_District_Gujarat-Vacations.html,Ahmedabad,Gujarat,India,West,Ahmedabad,,Tourism,Travel & Tourism,Tourism,tripadvisor.in,,,g297608 district,1
30,daman game,5000000,17,6450.0,$0,1,47,https://www.tripadvisor.in/Attraction_Review-g297600-d32722305-Reviews-Daman_Game-Daman_Daman_and_Diu.html,,Dadra and Nagar Haveli and Daman and Diu,India,West,,,Attraction,Tourism & Attractions,Attractions,tripadvisor.in,game,,g297600 d32722305,1
