No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
1,english to hindi,37200000,86,78120.0,$0.54,1,37,https://www.district.in/movies/mortal-kombat-ii-movie-tickets-in-gurgaon-MV171960,Gurugram,,,,Gurugram,,,,,movies mortal kombat ii movie tickets gurgaon mv171960,1
2,bookmyshow,24900000,6,841620.0,$0.07,1,61,https://www.district.in/movies/,,,,,,,,,,movies,1
3,english in tamil,9140000,50,19194.0,$0.14,1,31,https://www.district.in/events/hibiscus-foundation-may9-2026-buy-tickets,,,,,,,,,,events hibiscus foundation may9 2026 buy tickets,1
4,mi vs pbks,7480000,5,492932.0,$0.11,1,42,https://www.district.in/events/screening-of-mi-vs-pbks-mumbai-indians-vs-punjab-kings-apr16-2026-buy-tickets,,Punjab,India,North,,,,mi vs pbks,,events screening mumbai indians vs kings apr16 2026 buy tickets,1
5,gt vs rcb,246000,4,1211760.0,$0,1,42,https://www.district.in/events/screening-of-gt-vs-rcb-tata-ipl-2026-apr30-2026-buy-tickets,,,,,,,,gt vs rcb,,events screening tata ipl 2026 apr30 2026 buy tickets,1
6,ipl match,7480000,17,32164.0,$0.04,1,58,https://www.district.in/events/tata-ipl-2026-match-21-sunrisers-hyderabad-vs-rajasthan-royals-buy-tickets,,Rajasthan,India,North,,,,ipl match,,events tata 2026 21 sunrisers hyderabad vs royals buy tickets,1
7,games,6120000,73,15708.0,$0.16,5,91,https://www.district.in/events/board-games-by-playdate-unclub-gurgaon-may10-2026-buy-tickets,Gurugram,,,,Gurugram,,,games,,events board by playdate unclub gurgaon may10 2026 buy tickets,1
8,e dis,6120000,36,12852.0,$0.56,1,83,https://www.district.in/,,,,,,,,,,,1
9,dhurandhar,5000000,9,287028.0,$0.01,1,60,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-mumbai-MV211577,Mumbai,,,,Mumbai,,,dhurandhar,,movies revenge movie tickets mv211577,1
10,english to telugu,5000000,98,10500.0,$0.34,1,25,https://www.district.in/movies/kurnool-movie-tickets,,,,,,,,,,movies kurnool movie tickets,1
11,rr vs mi,4090000,18,29500.0,$0,1,42,https://www.district.in/events/ipl-ticket-booking,,,,,,,,,,events ipl ticket booking,1
12,chennai super kings,3350000,15,37500.0,$0,1,42,https://www.district.in/events/chennai-super-kings-team,Chennai,,,,Chennai,,,super kings,,events team,1
13,srh vs rcb,2740000,6,810000.0,$0,1,42,https://www.district.in/events/screening-of-srh-vs-rcb-tata-ipl-2026-may22-2026-buy-tickets,,,,,,,,srh vs rcb,,events screening tata ipl 2026 may22 2026 buy tickets,1
14,tamil download movies,5000000,36,10500.0,$0.38,1,51,https://www.district.in/events/hibiscus-foundation-may9-2026-buy-tickets,,,,,,,,,,events hibiscus foundation may9 2026 buy tickets,1
15,csk vs dc,1220000,23,16500.0,$0.11,1,42,https://www.district.in/events/ipl-ticket-booking,,,,,,,,,,events ipl ticket booking,1
16,csk,3350000,17,45500.0,$0,1,60,https://www.district.in/events/chennai-super-kings-team,Chennai,,,,Chennai,,,,,events super kings team,1
17,rcb vs mi,3350000,9,104704.0,$0.05,1,43,https://www.district.in/events/screening-of-rcb-vs-mi-tata-ipl-2026-may10-2026-buy-tickets,,,,,,,,rcb vs mi,,events screening tata ipl 2026 may10 2026 buy tickets,1
18,rcb vs dc,5000000,5,662580.0,$0,1,42,https://www.district.in/events/screening-of-dc-vs-rcb-tata-ipl-2026-apr27-2026-buy-tickets,,,,,,,,rcb vs dc,,events screening tata ipl 2026 apr27 2026 buy tickets,1
19,srh vs pbks,823000,10,61350.0,$0,1,42,https://www.district.in/events/screening-of-pbks-vs-srh-tata-ipl-2026-apr11-2026-buy-tickets,,,,,,,,srh vs pbks,,events screening tata ipl 2026 apr11 2026 buy tickets,1
20,gujarat titans vs royal challengers bengaluru,4090000,10,104704.0,$0.05,1,21,https://www.district.in/events/screening-of-gt-vs-rcb-gujarat-titans-vs-royal-challengers-bengaluru-apr30-2026-buy-tickets,,Gujarat,India,West,,,,titans vs royal challengers bengaluru,,events screening gt rcb vs apr30 2026 buy tickets,1
21,srh vs csk,135000,8,220765.0,$0.19,1,42,https://www.district.in/events/screening-of-csk-vs-srh-tata-ipl-2026-may18-2026-buy-tickets,,,,,,,,srh vs csk,,events screening tata ipl 2026 may18 2026 buy tickets,1
22,rajasthan royals,1500000,14,37855.0,$0,1,47,https://www.district.in/events/rajasthan-royals-ipl-2026-team,,Rajasthan,India,North,,,,royals,,events ipl 2026 team,1
23,and,2740000,61,5754.0,$0.13,2,52,https://www.district.in/events/open-mic-and-musical-jamming-may10-2026-buy-tickets,,,,,,,,,,events open mic musical jamming may10 2026 buy tickets,1
24,lucknow super giants vs punjab kings,2740000,9,70144.0,$0.09,1,20,https://www.district.in/events/screening-of-lsg-vs-pbks-lucknow-super-giants-vs-punjab-kings-may23-2026-buy-tickets,,Punjab,India,North,,,,lucknow super giants vs kings,,events screening lsg pbks vs may23 2026 buy tickets,1
25,tamil 1 mv,2740000,16,16166.0,$0.55,1,29,https://www.district.in/movies/mvr-cinemas-dolby-7-1-dolby-atmos-4k-rgb-laser-guduvanchery-in-chennai-CD1101384,Chennai,,,,Chennai,,,,,movies mvr cinemas dolby dolby atmos 4k rgb laser guduvanchery cd1101384,1
26,csk vs mi,5000000,20,11782.0,$0,1,42,https://www.district.in/events/chennai-super-kings-team,Chennai,,,,Chennai,,,,,events super kings team,1
27,csk vs srh,3350000,7,180566.0,$0,1,42,https://www.district.in/events/screening-of-srh-vs-csk-tata-ipl-2026-apr18-2026-buy-tickets,,,,,,,,csk vs srh,,events screening tata ipl 2026 apr18 2026 buy tickets,1
28,saiyaara movie,1600,12,53978.0,$0,1,30,https://www.district.in/movies/saiyaara-movie-tickets-MV196147,,,,,,,,saiyaara movie,,movies tickets mv196147,1
29,movies,2240000,12,25312.0,$0.58,2,80,https://www.district.in/movies/,,,,,,,,movies,,,1
30,royals vs titans,301000,8,105056.0,$0,1,42,https://www.district.in/events/tata-ipl-2026-match-52-rajasthan-royals-vs-gujarat-titans-may9-2026-buy-tickets,,Rajasthan,India,North,,,,royals vs titans,,events tata ipl 2026 match 52 gujarat may9 2026 buy tickets,1
31,sunrisers vs royal challengers,2740000,5,362880.0,$0,1,34,https://www.district.in/events/screening-of-srh-vs-rcb-tata-ipl-2026-may22-2026-buy-tickets,,,,,,,,vs,,events screening srh rcb tata ipl 2026 may22 2026 buy tickets,1
32,2.0,2740000,26,4704.0,$0.12,1,48,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-delhi-jul5-2026-buy-tickets,Delhi,Delhi,India,North,Delhi,,,,,events naram lehja 20 by kanha kamboj jul5 2026 buy tickets,1
33,gujarat titans,1830000,15,25312.0,$0,1,47,https://www.district.in/events/gujarat-titans-team,,Gujarat,India,West,,,,titans,,events team,1
34,mi vs srh,2240000,7,147616.0,$0,1,42,https://www.district.in/events/screening-of-mi-vs-srh-tata-ipl-2026-apr29-2026-buy-tickets,,,,,,,,mi vs srh,,events screening tata ipl 2026 apr29 2026 buy tickets,1
35,rajasthan royals vs sunrisers hyderabad,2240000,5,217952.0,$0.07,1,21,https://www.district.in/events/tata-ipl-2026-match-36-rajasthan-royals-vs-sunrisers-hyderabad-apr25-2026-buy-tickets,,Rajasthan,India,North,,,,royals vs sunrisers hyderabad,,events tata ipl 2026 match 36 apr25 2026 buy tickets,1
36,mumbai indians vs rajasthan royals,2740000,26,5376.0,$0.08,1,34,https://www.district.in/events/ipl-ticket-booking,,,,,,,,,,events ipl ticket booking,1
37,capitals vs royal challengers,2240000,3,362880.0,$0.17,1,34,https://www.district.in/events/tata-ipl-2026-match-39--delhi-capitals-vs-royal-challengers-bengaluru-buy-tickets,Delhi,Delhi,India,North,Delhi,,,capitals vs royal challengers,,events tata ipl 2026 match 39 bengaluru buy tickets,1
38,dc vs rcb,5000000,1,680960.0,$0.05,1,42,https://www.district.in/events/tata-ipl-2026-match-39--delhi-capitals-vs-royal-challengers-bengaluru-buy-tickets,Delhi,Delhi,India,North,Delhi,,,vs,,events tata ipl 2026 match 39 capitals royal challengers bengaluru buy tickets,1
39,to,2240000,31,4704.0,$0.06,1,45,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-delhi-jul5-2026-buy-tickets,Delhi,Delhi,India,North,Delhi,,,,,events naram lehja 20 by kanha kamboj jul5 2026 buy tickets,1
40,movie,2240000,8,75712.0,$0.58,2,62,https://www.district.in/movies/,,,,,,,,,,movies,1
41,csk vs gt,2740000,5,217952.0,$0,1,42,https://www.district.in/events/screening-of-gt-vs-csk-tata-ipl-2026-apr26-2026-buy-tickets,,,,,,,,csk vs gt,,events screening tata ipl 2026 apr26 2026 buy tickets,1
42,mi vs rr,4090000,13,33600.0,$0,1,23,https://www.district.in/events/screening-vs-rr-vs-mi-tata-ipl-2026-apr7-2026-buy-tickets,,,,,,,,mi vs rr,,events screening vs tata ipl 2026 apr7 2026 buy tickets,1
43,sunrisers hyderabad vs royal challengers bengaluru,1830000,6,178059.0,$0.13,1,21,https://www.district.in/events/screening-of-srh-vs-rcb-sunrisers-hyderabad-vs-royal-challengers-bengaluru-may22-2026-buy-tickets,Bengaluru,,,,Bengaluru,,,sunrisers hyderabad vs royal challengers,,events screening srh rcb vs may22 2026 buy tickets,1
44,zomato,1830000,11,27450.0,$0.05,5,78,https://www.district.in/,,,,,,,,,,,1
45,sa vs wi,1830000,46,3843.0,$0.06,1,21,https://www.district.in/,,,,,,,,,,,1
46,dhurandhar 2,70,13,36051.0,$0,1,18,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-MV211577,,,,,,,,dhurandhar,,movies revenge movie tickets mv211577,1
47,jaipur,1500000,40,3150.0,$0.12,1,61,https://www.district.in/play/jaipur-pickleball-by-pay-and-play-parks-jaipur-pickleball-jaipur-slots-booking,Jaipur,,,,Jaipur,,,,,play pickleball by pay play parks pickleball slots booking,1
48,wpl schedule,27100,10,29550.0,$0,1,26,https://www.district.in/events/womens-premier-league-2026-team,,,,,,,,,,events womens premier league 2026 team,1
49,2025 movies,1500000,37,3150.0,$2.26,1,52,https://www.district.in/movies/upcoming-movies,,,,,,,,movies,,upcoming movies,1
50,movies of 2025,2240000,11,22500.0,$2,1,49,https://www.district.in/movies/upcoming-movies,,,,,,,,movies,,upcoming movies,1
51,uhd movies,1500000,38,3150.0,$0.49,1,47,https://www.district.in/movies/vinayaka-cineluxe-4k-rgb-laser-dolby-atmos-marathahalli-in-bengaluru-CD43628,Bengaluru,,,,Bengaluru,,,movies,,vinayaka cineluxe 4k rgb laser dolby atmos marathahalli cd43628,1
