No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
1,petrol pump near me,9140000,8,778540.0,$0.17,1,34,https://www.justdial.com/Lucknow/Petrol-Pumps-in-Gomti-Nagar/nct-10360538,Lucknow,,,,Lucknow,,,petrol,,pumps gomti nagar nct 10360538,1
2,hotel,13600000,28,32640.0,$0.46,5,83,https://www.justdial.com/Visakhapatnam/Hotels/nct-10255012,Visakhapatnam,,,,Visakhapatnam,,Hotel,,,nct 10255012,1
3,hotel near me,9140000,7,520590.0,$0.18,15,35,https://www.justdial.com/Belgaum/Hotels-Rs-501-To-Rs-1000/nct-10255037,,,,,,,Hotel,,,belgaum rs 501 to rs 1000 nct 10255037,1
4,hotels near me,9140000,9,375180.0,$0.17,16,76,https://www.justdial.com/Mainpuri/Hotels-Rs-501-To-Rs-1000/nct-10255037,,,,,,,Hotel,,,mainpuri rs 501 to rs 1000 nct 10255037,1
5,restaurants,11100000,9,428666.0,$0.29,2,61,https://www.justdial.com/Sitapur/Restaurants/nct-10408936,,,,,,,Restaurant,,,sitapur nct 10408936,1
6,restaurant,11100000,30,19194.0,$0.22,1,53,https://www.justdial.com/Bangalore/Restaurants/nct-10408936/page-8,Bengaluru,,,,Bengaluru,,Restaurant,,,bangalore nct 10408936,1
7,dow jones,7480000,89,12852.0,$0.59,1,47,https://www.justdial.com/verticals/stocks/price-quote/dow-jones-industrial-average/%5EDJI,,,,,,,,dow jones,,verticals stocks price quote industrial average dji,1
8,cng pump near me,4090000,11,120564.0,$0.20,1,35,https://www.justdial.com/Dwarka-Gujarat/CNG-Filling-Stations/nct-11023015,,Gujarat,India,West,Dwarka,Dwarka,,cng,,filling stations nct 11023015,1
9,petrol pump,6120000,9,234500.0,$0.16,1,48,https://www.justdial.com/Kolkata/Petrol-Pumps/nct-10360538,Kolkata,,,,Kolkata,,,petrol,,pumps nct 10360538,1
10,hdfc bank,4090000,13,46217.0,$0.44,1,68,https://www.justdial.com/Bangalore/HDFC-Banks-in-St-Marys-Road/nct-11981990,Bengaluru,,,,Bengaluru,,,hdfc,,bangalore banks st marys road nct 11981990,1
11,hdfc bank ltd,4090000,16,22904.0,$0.60,1,40,https://www.justdial.com/Delhi/HDFC-Bank-Ltd/011PXX11-XX11-130830114605-N4J3_BZDET,Delhi,Delhi,India,North,Delhi,,,hdfc bank ltd,,011pxx11 xx11 130830114605 n4j3 bzdet,1
12,sgx nifty,3350000,38,8589.0,$0.48,1,47,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty,,,,,,,,sgx nifty,,verticals stocks price quote sgx nifty,1
13,nifty sgx,4090000,41,8589.0,$1.02,1,30,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty,,,,,,,,nifty sgx,,verticals stocks price quote sgx nifty,1
14,sgx nifty index,4090000,45,8589.0,$0.77,1,42,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty,,,,,,,,sgx nifty,,verticals stocks price quote sgx nifty,1
15,sgx live,4090000,34,8589.0,$0.77,1,47,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty,,,,,,,,sgx,,verticals stocks price quote nifty sgx nifty,1
16,suzlon energy stock price,5000000,56,7035.0,$0.57,1,42,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-bo,,,,,,,,suzlon energy price,,verticals stocks quote limited suzlon bo,1
17,cashify,3350000,14,30485.0,$0.03,61,79,https://www.justdial.com/Delhi/Cashify-Mobile-Phone-Shop-Sardar-Colony-Road/011PXX11-XX11-250813145441-A7F6_BZDET,Delhi,Delhi,India,North,Delhi,,,cashify,,mobile phone shop sardar colony road 011pxx11 xx11 250813145441 a7f6 bzdet,1
18,suzlon share price,4090000,91,7035.0,$0.38,1,43,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-ns,,,,,,,,suzlon price,,verticals stocks quote energy limited suzlon ns,1
19,suzlon energy share price,4090000,66,7035.0,$0.48,1,34,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-bo,,,,,,,,suzlon energy price,,verticals stocks quote limited suzlon bo,1
20,suzlon stock price,3350000,74,7035.0,$0.48,1,41,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-ns,,,,,,,,suzlon price,,verticals stocks quote energy limited suzlon ns,1
21,mazi naukri com,3350000,8,85760.0,$0.53,1,18,https://www.justdial.com/Aurangabad-Maharashtra/Majhi-Naukri-Near-Maji-Sainik-Colony-Padegaon-Jalna-Road-Aurangabad/9999PX240-X240-220519003205-D2F2_BZDET,Aurangabad,Maharashtra,India,West,Aurangabad,,,naukri,,majhi maji sainik colony padegaon jalna road 9999px240 x240 220519003205 d2f2 bzdet,1
