No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
1,desi tales,2740000,8,53978,$0,1,28,https://lbb.in/delhi/Desi-Tales-781354/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
2,wine shop near me,2740000,29,5754,$0,1,34,https://lbb.in/delhi/wine-beer-shops-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
3,indira nagar,823000,9,33800,$0.47,8,50,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
4,indira nagar in bangalore,823000,10,33800,$0.31,7,37,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
5,wine shop wine,1000000,18,7500,$0.08,1,15,https://lbb.in/hyderabad/best-wine-shops/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
6,mall near me,1000000,12,25600,$0.31,5,44,https://lbb.in/bangalore/best-malls-in-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
7,library closest to me,1000000,7,97300,$0.03,2,25,https://lbb.in/delhi/public-libraries-in-delhi-membership/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
8,library near me,1000000,15,11300,$0.29,2,56,https://lbb.in/delhi/public-libraries-in-delhi-membership/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
9,wine wine shop,1000000,20,5600,$0.08,1,14,https://lbb.in/kolkata/shops-in-kolkata-for-wines/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
10,wine and shop,1000000,13,15000,$0.05,1,17,https://lbb.in/kolkata/shops-in-kolkata-for-wines/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
11,bangalore,1220000,35,2100,$0.19,1,62,https://lbb.in/bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
12,south india bangalore,1000000,35,2100,$0.32,1,49,https://lbb.in/bangalore/post/south-indian/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
13,bangalore south india,1000000,20,5600,$0.32,1,50,https://lbb.in/bangalore/post/south-indian/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
14,wine shop wine shop,1000000,8,65900,$0.34,1,30,https://lbb.in/kolkata/shops-in-kolkata-for-wines/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
15,wine shop,1000000,32,2100,$0.83,1,47,https://lbb.in/delhi/big-way-wine-beer-65f5b1/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
16,shivaji nagar,823000,51,2100,$0.18,5,49,https://lbb.in/bangalore/locality/shivaji-nagar-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
17,indiranagar,823000,10,33800,$0.31,7,63,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
18,chandni chowk,673000,14,9299,$0.94,4,49,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
19,ambience mall,673000,59,1728,$1.07,10,51,https://lbb.in/delhi/ambience-mall-vasant-kunj-65aacb/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
20,karol bagh delhi,673000,30,1728,$0.21,10,46,https://lbb.in/delhi/locality/karol-bagh-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
21,tambaram chennai,550000,74,1728,$0.99,10,51,https://lbb.in/chennai/locality/tambaram-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
22,karol bagh,673000,10,27817,$0.27,10,51,https://lbb.in/delhi/karol-bagh-hood-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
23,chandni chowk in india,823000,61,1728,$0.12,3,34,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
24,new delhi karol bagh,823000,19,4608,$0.15,4,30,https://lbb.in/delhi/karol-bagh-hood-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
25,ambience mall gurgaon,673000,15,6172,$1.07,10,46,https://lbb.in/delhi/bookmark-ambience-mall-gurgaon/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
26,chandni chowk in new delhi,823000,26,1975,$0.12,3,26,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
27,hebbal,673000,74,1413,$0.20,7,63,https://lbb.in/bangalore/locality/hebbal-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
28,gyms,673000,28,1547,$0.51,3,61,https://lbb.in/goa/best-gyms-in-goa/,Unknown,Goa,India,West,Unknown,Unknown,,,,1
29,sadar bazaar,550000,15,6124,$0,9,50,https://lbb.in/delhi/sadar-bazaar-delhi-cant-c86299/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
30,lal bagh botanical garden,673000,45,1413,$0.67,6,36,https://lbb.in/bangalore/lal-bagh-botanical-garden-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
31,just watches,673000,25,1547,$0.20,1,48,https://lbb.in/mumbai/just-watches-7a993f/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
32,sadar bazar,550000,15,7604,$0,9,50,https://lbb.in/delhi/sadar-bazaar-delhi-cant-c86299/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
33,gym,823000,66,1413,$0.32,2,70,https://lbb.in/kolkata/gyms-in-kolkata/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
34,lal bagh,673000,63,1413,$0.67,6,49,https://lbb.in/bangalore/lalbagh-66803a/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
35,dadar,450000,13,13258,$0,9,63,https://lbb.in/mumbai/things-to-do-in-dadar-west/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
