No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
1,wine shop near me,2740000,28,6028,$0,1,34,https://magicpin.in/india/New-Delhi/All/Liquor-Store/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
2,kfc,2240000,42,4704,$0.17,4,62,https://magicpin.in/Hyderabad/Pragathi-Nagar/Restaurant/Kfc/store/85a624/menu/?utm_source=aroundyou,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Restaurant,,,,1
3,cafes near me,2240000,14,25312,$0.21,12,46,https://magicpin.in/india/Secunderabad/All/Restaurant/Cafe/,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Restaurant,,,,1
4,phoenix market city,1220000,26,3294,$0.04,9,45,https://magicpin.in/@phoenix-marketcity-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
5,wine shopee,1000000,8,25600,$0.08,1,21,https://magicpin.in/Pune/Deccan-Gymkhana/Restaurant/Wine-World-Beer-Shopee/store/898a5c/photos/,Pune,Unknown,Unknown,Unknown,Pune,Restaurant,,,,1
6,vijay sales,823000,48,2100,$7.45,42,60,https://magicpin.in/New-Delhi/Uttam-Nagar/Electronics/Vijay-Sales/store/884880/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
7,connaught place,823000,20,5100,$0.93,5,49,https://magicpin.in/blog/category/trending/things-to-do-in-connaught-place,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
8,wine shop wine,1000000,22,4300,$0.08,1,15,https://magicpin.in/india/Visakhapatnam/All/Liquor-Store/,Visakhapatnam,Unknown,Unknown,Unknown,Visakhapatnam,Unknown,,,,1
9,t's bar and grill,1000000,24,2200,$0.05,1,23,https://magicpin.in/Hyderabad/Gachibowli/Restaurant/T--Grill/store/86738/menu/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Restaurant,,,,1
10,my jio store,823000,16,9100,$0.10,9,45,https://magicpin.in/Pune/Electronics/brands/8279/My-Jio-Store/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
11,ambience mall,673000,32,1728,$1.07,10,51,https://magicpin.in/india/Gurgaon/Ambience-Mall/All/,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
12,metro rail delhi map,823000,37,1728,$0.03,1,54,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
13,electronic city,823000,54,1728,$0.20,11,51,https://magicpin.in/Bangalore/Dooravani-nagar/Electronics/Electronic-city/store/254869,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
14,metro chart delhi,823000,47,1728,$0.07,1,41,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
15,metro delhi map,823000,39,1728,$0.03,1,44,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
16,india delhi metro map,823000,47,1728,$0.08,1,45,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
17,ambience mall gurgaon,673000,40,1728,$1.07,10,46,https://magicpin.in/india/Gurgaon/Ambience-Mall/All/,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
18,delhi metro map,823000,38,1728,$0.01,1,42,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
19,delhi ncr metro map,823000,47,1728,$0.03,1,36,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
20,united fried chicken,673000,14,9299,$0.29,1,21,https://magicpin.in/Guntur/Srinivasa-Nagar-Colony/Restaurant/Ufc---United-Fried-Chicken/store/15602b8/,Guntur,Unknown,Unknown,Unknown,Guntur,Restaurant,,,,1
21,map metro,673000,97,1413,$0.01,1,47,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
22,adyar ananda bhavan a2b,550000,36,1413,$0.21,6,33,https://magicpin.in/Chennai/Anna-Nagar-East/Restaurant/A2b---Adyar-Ananda-Bhavan/store/88854/delivery/,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant,,,,1
23,metro map,673000,48,1413,$0.14,1,47,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
24,koramangala,673000,34,1413,$0.67,6,62,https://magicpin.in/blog/category/Travel/what-do-koramangala-bangalores-coolest-neighborhood,Unknown,Unknown,Unknown,Unknown,Unknown,Tourism,,,,1
25,jio shop near me,673000,35,1413,$0.05,1,19,https://magicpin.in/Hyderabad/Isnapur/Electronics/Reliance-Jio-Store/store/15c8c81/?utm_source=aroundyou,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
26,bangalore orion mall,673000,36,1413,$0.11,5,44,https://magicpin.in/@orion-mall-brigade-gateway-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
27,sarojini nagar market new delhi,550000,31,1155,$0.04,1,19,https://magicpin.in/blog/category/fashion/sarojini-nagar-market-delhi-guide,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
28,rajiv chowk in delhi,550000,46,1155,$0.12,4,28,https://magicpin.in/New-Delhi/Rajiv-Chowk,,,,,,,,,,1
29,majestic ksrtc bus terminal 2a,550000,17,3080,$0.11,5,22,https://magicpin.in/Bangalore/Majestic/Other/Majestic-Ksrtc-Bus-Terminal-2A/store/1b11c96,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
30,delhi rajiv chowk,550000,37,1155,$0.12,4,20,https://magicpin.in/New-Delhi/Rajiv-Chowk,,,,,,,,,,1
31,vashi,450000,111,1155,$0.11,5,62,https://magicpin.in/Navi-Mumbai/Turbhe/Electronics/Vashi-Integrated-Solutions-Limited/store/774c31/,Navi Mumbai,Unknown,Unknown,Unknown,Navi Mumbai,Unknown,,,,1
32,sarojini market in new delhi,550000,33,1155,$0.03,1,26,https://magicpin.in/blog/category/fashion/sarojini-nagar-market-delhi-guide,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
33,pizza,550000,46,1155,$0.14,7,63,https://magicpin.in/india/Noida/Restaurant/Restaurant/Pizza/,Noida,Unknown,Unknown,Unknown,Noida,Restaurant,,,,1
34,dlf mall noida,550000,34,1155,$0.21,5,44,https://magicpin.in/@dlf-mall-of-india-noida,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
35,sarojini nagar market in delhi,550000,24,1815,$0,1,34,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,Tourism,,,,1
36,dlf mall of noida,550000,28,1155,$0.25,5,35,https://magicpin.in/@dlf-mall-of-india-noida,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
37,decathlon near me,450000,9,18590,$0.13,8,45,https://magicpin.in/New-Delhi/attribute/Decathlon2/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
38,pharmacy close to me,450000,9,18590,$0.12,7,16,https://magicpin.in/india/Visakhapatnam/Visakhapatnam/Pharmacy/,Visakhapatnam,Unknown,Unknown,Unknown,Visakhapatnam,Unknown,,,,1
39,sarojini nagar delhi market,550000,23,1815,$0.19,1,39,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,Tourism,,,,1
40,iffco chowk gurgaon,550000,40,1155,$0.61,5,44,https://magicpin.in/Gurgaon/Iffco-Chowk-Metro-Station/Other/Iffco-Chowk/store/20033a2/,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
41,sarojini market of delhi,550000,33,1155,$0.09,1,30,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,Tourism,,,,1
42,rajiv chowk station,550000,31,1155,$0.29,6,44,https://magicpin.in/New-Delhi/Rajiv-Chowk,,,,,,,,,,1
43,third wave coffee,550000,20,3245,$0.33,6,44,https://magicpin.in/Bangalore/Restaurant/brands/6636/Third-Wave-Coffee-Roasters/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
44,naturals ice cream,368000,21,2805,$0.09,5,44,https://magicpin.in/Mumbai/R-Mall/Restaurant/Natural-Ice-Cream/store/291ba0/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant,,,,1
45,lajpat nagar delhi,550000,33,1155,$0.16,4,44,https://magicpin.in/blog/india/delhi/Travel/lajpat-nagar-market-guide,Delhi,Delhi,India,North,Delhi,Tourism,,,,1
46,lulu mall kochi kerala,450000,37,945,$0.04,5,44,https://magicpin.in/india/Kochi/Lulu-Mall/All/,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown,,,,1
47,croma near me,368000,13,8865,$0.03,12,46,https://magicpin.in/Ahmedabad/C-G-Road/Electronics/Croma/store/625b2b/,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown,,,,1
48,indian karnal,450000,35,945,$0.13,1,21,https://magicpin.in/india/Karnal/All/Restaurant/North-Indian/?feat=SEATING_AVAILABLE,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant,,,,1
49,cut and style hair,450000,23,1935,$0.45,1,30,https://magicpin.in/Mumbai/Kurla/Beauty/Cut-and-Style/store/64c96/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
50,select citywalk new delhi delhi,368000,21,1214,$0.07,4,29,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
51,hairdressing salon near me,368000,15,4158,$0.15,26,20,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/Haircut/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
52,hair beauty shop near me,368000,15,5520,$0.15,26,36,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/?feat=FEMALE,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
53,select citywalk mall delhi,368000,25,883,$0.11,5,24,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
54,hair salon near me,368000,88,772,$0.31,17,40,https://magicpin.in/blog/salons-in-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
55,bangalore u b city,368000,26,846,$0.14,5,26,https://magicpin.in/@ub-city-mall-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
56,starbucks near me,301000,13,5520,$0.71,3,43,https://magicpin.in/@starbucks-near-me-in-nagpur,Nagpur,Unknown,Unknown,Unknown,Nagpur,Unknown,,,,1
57,bandra bkc,301000,52,772,$0.33,7,50,https://magicpin.in/india/Mumbai/Bandra-Kurla-Complex/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
58,star box near me,368000,32,772,$0.05,3,38,https://magicpin.in/New-Delhi/Restaurant/brands/7832/Starbucks/,New Delhi,Delhi,India,North,New Delhi,Restaurant,,,,1
59,church street,301000,34,772,$0.01,15,52,https://magicpin.in/india/Bangalore/Church-Street/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
60,ub city,301000,37,772,$0,7,50,https://magicpin.in/@ub-city-mall-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
61,nexus mall koramangala,301000,27,772,$0.20,15,47,https://magicpin.in/@nexus-koramangala-mall-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
62,max fashion,368000,19,2060,$0.04,88,56,https://magicpin.in/Chennai/Grocery/brands/7821/Max-Fashion/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
63,haircut salons near me,368000,16,4158,$0.15,26,20,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/Haircut/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
64,select city walk new delhi,368000,35,772,$0.11,5,31,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
65,phoenix mall of the millennium,368000,23,883,$0.10,6,36,https://magicpin.in/india/Pune/Phoenix-Mall-Of-The-Millennium-Wakad/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
66,gift shops near me,368000,10,9420,$0.19,17,40,https://magicpin.in/india/Hyderabad/Kondapur/Gift-Store/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
67,gift shops close to me,368000,7,35806,$0.10,22,21,https://magicpin.in/india/Greater-Noida/All/Gift-Store/,Greater Noida,Unknown,Unknown,Unknown,Greater Noida,Unknown,,,,1
68,khan market,368000,40,772,$0.03,1,31,https://magicpin.in/india/New-Delhi/Khan-Market/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
69,select citywalk new delhi,368000,23,993,$0.11,5,25,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
