No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
1,wine shop near me,2740000,28,6028.0,$0,1,34,https://magicpin.in/india/New-Delhi/All/Liquor-Store/,New Delhi,Delhi,India,North,New Delhi,,,,,all liquor store,1
2,kfc,2240000,42,4704.0,$0.17,4,62,https://magicpin.in/Hyderabad/Pragathi-Nagar/Restaurant/Kfc/store/85a624/menu/?utm_source=aroundyou,Hyderabad,,,,Hyderabad,,Restaurant,kfc,,pragathi nagar store 85a624 menu,1
3,cafes near me,2240000,14,25312.0,$0.21,12,46,https://magicpin.in/india/Secunderabad/All/Restaurant/Cafe/,Secunderabad,,India,,Secunderabad,,Restaurant,,,all,1
4,phoenix market city,1220000,26,3294.0,$0.04,9,45,https://magicpin.in/@phoenix-marketcity-mumbai,Mumbai,,,,Mumbai,,,phoenix,,marketcity,1
5,wine shopee,1000000,8,25600.0,$0.08,1,21,https://magicpin.in/Pune/Deccan-Gymkhana/Restaurant/Wine-World-Beer-Shopee/store/898a5c/photos/,Pune,,,,Pune,,Restaurant,wine shopee,,deccan gymkhana world beer store 898a5c photos,1
6,vijay sales,823000,48,2100.0,$7.45,42,60,https://magicpin.in/New-Delhi/Uttam-Nagar/Electronics/Vijay-Sales/store/884880/,New Delhi,Delhi,India,North,New Delhi,,,vijay sales,,uttam nagar electronics store 884880,1
7,connaught place,823000,20,5100.0,$0.93,5,49,https://magicpin.in/blog/category/trending/things-to-do-in-connaught-place,,,,,Connaught Place,Connaught Place,Attraction,,,blog category trending,1
8,wine shop wine,1000000,22,4300.0,$0.08,1,15,https://magicpin.in/india/Visakhapatnam/All/Liquor-Store/,Visakhapatnam,,India,,Visakhapatnam,,,,,all liquor store,1
9,t's bar and grill,1000000,24,2200.0,$0.05,1,23,https://magicpin.in/Hyderabad/Gachibowli/Restaurant/T--Grill/store/86738/menu/,Hyderabad,,,,Hyderabad,,Restaurant,grill,,gachibowli store 86738 menu,1
10,my jio store,823000,16,9100.0,$0.10,9,45,https://magicpin.in/Pune/Electronics/brands/8279/My-Jio-Store/,Pune,,,,Pune,,,my jio store,,electronics brands 8279,1
11,ambience mall,673000,32,1728.0,$1.07,10,51,https://magicpin.in/india/Gurgaon/Ambience-Mall/All/,Gurugram,,India,,Gurugram,,,ambience mall,,gurgaon all,1
12,metro rail delhi map,823000,37,1728.0,$0.03,1,54,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
13,electronic city,823000,54,1728.0,$0.20,11,51,https://magicpin.in/Bangalore/Dooravani-nagar/Electronics/Electronic-city/store/254869,Bengaluru,,,,Bengaluru,Electronic City,,,,bangalore dooravani nagar electronics store 254869,1
