No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank,
1,petrol pump near me,9140000,12,249000,$0.17,1,34,https://www.mappls.com/petrol-pump-near-me,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2,map,7480000,9,233984,$0.02,1,60,https://about.mappls.com/app/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
3,cng pump near me,4090000,17,36108,$0.20,1,35,https://www.mappls.com/cng%20station-near-me,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
4,hindustan petroleum corporation limited,823000,27,11500,$0.88,3,35,https://www.mappls.com/p0837k,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
5,india maps,2740000,25,7398,$0.01,80,47,https://www.mappls.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
6,map indian,2740000,22,7398,$0.01,80,50,https://www.mappls.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
7,india map,3350000,20,11782,$0.25,18,53,https://www.mappls.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
8,sbi atm,1500000,27,5152,$0.10,1,47,https://www.mappls.com/xearst,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
9,majestic,1500000,35,3843,$0,4,62,https://www.mappls.com/place-majestic-221-4th+main+road-chamarajpet-bengaluru-karnataka-560018-FDADF1@zdata=MTIuOTU4MDU5Kzc3LjU2NzIyOSsxNytGREFERjErK25yed,Bengaluru,Karnataka,India,South,Bengaluru,Unknown,,,,1,
10,kashmiri gate,1220000,44,3150,$0.08,3,48,https://www.mappls.com/ec5fb5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
11,anand vihar railway station,550000,29,2562,$0,8,37,https://www.mappls.com/53f6bt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
12,anand vihar terminal,1000000,31,2562,$0.03,5,44,https://www.mappls.com/place-anand+vihar+terminal+railway+station-anand+vihar+megha+terminal-railway+station-near+isbt+anand+vihar-patparganj+industrial+area-new+delhi-delhi-110092-53F6BT@zdata=MjguNjQ4ODE0Kzc3LjMxNTQ4NysxNys1M0Y2QlQrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
13,airtel store,1500000,11,31232,$0.30,3,48,https://www.mappls.com/9dnb7s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
14,patna junction railway station,823000,26,2684,$0,9,37,https://www.mappls.com/d47632,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
15,anand vihar terminal railway station,550000,27,2684,$0,8,37,https://www.mappls.com/place-anand+vihar+terminal+railway+station-anand+vihar+megha+terminal-railway+station-near+isbt+anand+vihar-patparganj+industrial+area-new+delhi-delhi-110092-53F6BT@zdata=MjguNjQ4ODE0Kzc3LjMxNTQ4NysxNys1M0Y2QlQrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
16,secunderabad jn,1000000,42,2100,$0.10,4,32,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,Unknown,,,,1,
17,old delhi junction,1220000,67,2100,$0,3,43,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
18,krishna vijayawada,1000000,42,2100,$0.16,2,19,https://www.mappls.com/ag88ln,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
19,wine shopee,1000000,4,97300,$0.08,1,21,https://www.mappls.com/1tvk4c,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
20,vijay sales,823000,16,9100,$7.45,42,60,https://www.mappls.com/rg27ux,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
21,delhi old delhi railway station,1000000,51,2100,$0.08,2,24,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
22,secunderabad junction railway station,1000000,28,2100,$0.08,4,21,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,Unknown,,,,1,
23,railway station old delhi,1000000,45,2100,$0.06,4,21,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
24,railway station in old delhi,1220000,57,2100,$0.07,3,19,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
25,old delhi railway station delhi,1000000,31,2100,$0.08,2,24,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
26,indraprastha gas limited cng station,1000000,15,11300,$0,1,35,https://www.mappls.com/place-indraprastha+gas+limited+cng+station-hp+petrol+pump-near+khan+market+metro+station-sujan+park-new+delhi-delhi-110003-HOXFPR@zdata=MjguNjAyMTg1Kzc3LjIzMDA4MSsxNytIT1hGUFIrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
27,old delhi railway stations,1000000,50,2100,$0.08,2,25,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
28,secunderabad junction secunderabad telangana,1000000,29,2200,$0.10,4,26,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,Unknown,,,,1,
29,wine and shop,1000000,10,33800,$0.05,1,17,https://www.mappls.com/place-wine+shop-baramunda-bhubaneswar-odisha-751003-OK7O9J@zdata=MjAuMjczMjE2Kzg1Ljc5NDg1MysxNytPSzdPOUorKw==ed,Bhubaneswar,Odisha,India,East,Bhubaneswar,Unknown,,,,1,
30,delhi old railway station,1000000,52,2100,$0.06,4,22,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
31,old delhi railway station,1000000,44,2100,$0.06,4,21,https://www.mappls.com/place-old+delhi+railway+station+parking-18-shyama+prasad+mukherjee+marg-kaccha+bagh+area-chandni+chowk-new+delhi-delhi-110006-DE23MF@zdata=MjguNjYwNDYxKzc3LjIyNzU0NisxNytERTIzTUYrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
32,marine drive,1000000,29,2100,$0.53,5,49,https://www.mappls.com/direction-from--to-marine+drive+marine+drive+mumbai?@zdata=ZnJvbSsrdG8rNzIuODI0MTQsMTguOTM4NTA0LDE3MlNUVCt2aWE=,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1,
33,secunderabad jn railway station,1000000,19,4300,$0.10,4,25,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,Unknown,,,,1,
34,old delhi station,1000000,59,2100,$0.08,2,36,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
35,gandhi nagar,1000000,37,2100,$0.08,3,43,https://www.mappls.com/direction-from--to-gandhinagar;gandhi+nagar+ch+road,,,,,,,,,,,
36,chhatrapati shivaji international airport terminal 2,74000,28,2100,$0.12,13,30,https://www.mappls.com/place-chhatrapati+shivaji+international+airport+terminal+2-andheri+east-mumbai-maharashtra-400099-8pylme@zdata=MTkuMDk4OTkrNzIuODc1MzQ2KzE3KzhweWxtZSsred,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
37,old delhi junction railway station,1220000,53,2100,$0,3,35,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
38,wine shop,1000000,9,33800,$0.83,1,47,https://www.mappls.com/place-english+wine+shop-station+road-nahar+para-raipur-chhattisgarh-492009-s71773@zdata=MjEuMjU2MTk3KzgxLjYzMDk2KzE3K3M3MTc3Mysred,Raipur,Chhattisgarh,India,Central,Raipur,Unknown,,,,1,
39,old railway station delhi,1000000,45,2100,$0.06,4,22,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
40,old delhi railway station location,1220000,40,2100,$0.07,3,20,https://www.mappls.com/6d3s13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
41,qutub minar,550000,75,1728,$0.47,5,49,https://www.mappls.com/n6oqyb,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
42,ambience mall,673000,17,7489,$1.07,10,51,https://www.mappls.com/a71f58,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
43,sealdah station kolkata,823000,23,4197,$0.08,2,34,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1,
44,panvel,673000,35,1728,$0,5,62,https://www.mappls.com/place-panvel+railway+station+east-sector+15-new+panvel+east-navi+mumbai-maharashtra-410206-DC2288@zdata=MTguOTkwOTgzKzczLjEyMjUwNysxNytEQzIyODgrK25yed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
45,sealdah railway station kolkata,823000,23,2715,$0.10,4,27,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1,
46,ambience mall gurgaon,673000,23,2222,$1.07,10,46,https://www.mappls.com/8ss1ab,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
47,sealdah station,823000,22,4197,$0,8,50,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1,
