No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,Business Category,Product Category,Source,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
1,restaurants near me,16600000,5,4033800.0,$0.16,6,49,https://www.swiggy.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,me,,,1
2,restaurants,11100000,6,1480680.0,$0.29,2,61,https://www.swiggy.com/restaurants,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,,,,1
3,restaurant,11100000,8,602326.0,$0.22,1,53,https://www.swiggy.com/dineout,,,,,,,,,,swiggy.com,,,dineout,1
4,desi tales,2740000,7,70144.0,$0,1,28,https://www.swiggy.com/city/orai/desi-tales-ram-nagar-rest1280547,,,,,,,,,,swiggy.com,desi tales,,city orai ram nagar rest1280547,1
5,mcdonald's,2740000,23,11782.0,$0.19,5,62,https://www.swiggy.com/city/delhi/mcdonalds-preet-vihar-new-delhi-rest1162381,New Delhi,Delhi,India,North,New Delhi,,,,,swiggy.com,,,city mcdonalds preet vihar rest1162381,1
6,powerbank deals,74000,81,4704.0,$0.03,73,42,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5208,,,,,,,,,,swiggy.com,,,instamart campaign collection,1
7,kfc,2240000,18,16800.0,$0.17,4,62,https://www.swiggy.com/city/mumbai/kfc,Mumbai,,,,Mumbai,,,,,swiggy.com,kfc,,city,1
8,cafe near me,2240000,9,105056.0,$0.13,11,60,https://www.swiggy.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,me,,,1
9,swiggy,2240000,1,680960.0,$0.13,11,64,https://www.swiggy.com/,,,,,,,,,,swiggy.com,,,,1
10,cafes near me,2240000,11,44128.0,$0.21,12,46,https://www.swiggy.com/city/bangalore/cafe-cuisine-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,swiggy.com,,,city bangalore cuisine,1
11,zomato,1830000,14,13725.0,$0.05,5,78,https://www.swiggy.com/city/faridabad/zomato-sector-48-new-industrial-township-rest506978,Faridabad,,,,Faridabad,,,,,swiggy.com,zomato,,city sector 48 new industrial township rest506978,1
12,idli,1830000,15,27450.0,$0.20,3,61,https://www.swiggy.com/instamart/recipe/idli,,,,,,,,,,swiggy.com,idli,,instamart recipe,1
13,bar near me,1000000,5,197640.0,$0.20,6,44,https://www.swiggy.com/best-bars-restaurants-dineout-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,me,,best dineout,1
14,instamart,1220000,1,370880.0,$0.08,14,65,https://www.swiggy.com/instamart,,,,,,,,,,swiggy.com,instamart,,,1
15,burger king,1000000,20,6832.0,$0.25,2,48,https://www.swiggy.com/city/bangalore/burger-king,Bengaluru,,,,Bengaluru,,,,,swiggy.com,burger king,,city bangalore,1
16,bars near me,1000000,5,197640.0,$0.16,6,44,https://www.swiggy.com/best-bars-restaurants-dineout-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,me,,best dineout,1
17,grocery store near me,368000,4,304000.0,$0.73,1,35,https://www.swiggy.com/instamart,,,,,,,,,,swiggy.com,,,instamart,1
18,grocery close to me,823000,4,304000.0,$0.31,1,63,https://www.swiggy.com/instamart,,,,,,,,,,swiggy.com,,,instamart,1
19,nearest grocery stores to me,1000000,7,97300.0,$0.27,1,33,https://www.swiggy.com/instamart,,,,,,,,,,swiggy.com,,,instamart,1
20,connaught place,823000,112,2100.0,$0.93,5,49,https://www.swiggy.com/city/delhi/china-town-connaught-place-rest320262,Delhi,Delhi,India,North,Delhi,Connaught Place,,,,swiggy.com,,,city china town rest320262,1
21,indian kolkata,1000000,14,19700.0,$0.25,1,46,https://www.swiggy.com/city/kolkata/modern-indian-cuisine-restaurants,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,swiggy.com,indian,,city modern cuisine,1
22,south india chennai,823000,88,2100.0,$0.48,1,36,https://www.swiggy.com/city/chennai/south-indian-cuisine-restaurants,Chennai,,,,Chennai,,Restaurant,Food & Dining,Food & Dining,swiggy.com,,,city indian cuisine,1
23,secunderabad jn,1000000,57,2100.0,$0.10,4,32,https://www.swiggy.com/order-food-online-in-train,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,,,order online train,1
24,veg cafe near me,1000000,5,162000.0,$0.23,10,32,https://www.swiggy.com/veg-restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,swiggy.com,veg me,,,1
25,mcdonald's nearest to me,1000000,11,25600.0,$0.03,4,46,https://www.swiggy.com/mcdonalds-near-me,,,,,,,,,,swiggy.com,me,,mcdonalds,1
26,web s,1000000,104,2100.0,$0.69,6,66,https://www.swiggy.com/,,,,,,,,,,swiggy.com,,,,1
