No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,english to hindi,37200000,86,78120,$0.54,1,37,https://www.district.in/movies/mortal-kombat-ii-movie-tickets-in-gurgaon-MV171960
2,bookmyshow,24900000,6,841620,$0.07,1,61,https://www.district.in/movies/
3,english in tamil,9140000,50,19194,$0.14,1,31,https://www.district.in/events/hibiscus-foundation-may9-2026-buy-tickets
4,mi vs pbks,7480000,5,492932,$0.11,1,42,https://www.district.in/events/screening-of-mi-vs-pbks-mumbai-indians-vs-punjab-kings-apr16-2026-buy-tickets
5,gt vs rcb,246000,4,1211760,$0,1,42,https://www.district.in/events/screening-of-gt-vs-rcb-tata-ipl-2026-apr30-2026-buy-tickets
6,ipl match,7480000,17,32164,$0.04,1,58,https://www.district.in/events/tata-ipl-2026-match-21-sunrisers-hyderabad-vs-rajasthan-royals-buy-tickets
7,games,6120000,73,15708,$0.16,5,91,https://www.district.in/events/board-games-by-playdate-unclub-gurgaon-may10-2026-buy-tickets
8,e dis,6120000,36,12852,$0.56,1,83,https://www.district.in/
9,dhurandhar,5000000,9,287028,$0.01,1,60,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-mumbai-MV211577
10,english to telugu,5000000,98,10500,$0.34,1,25,https://www.district.in/movies/kurnool-movie-tickets
11,rr vs mi,4090000,18,29500,$0,1,42,https://www.district.in/events/ipl-ticket-booking
12,chennai super kings,3350000,15,37500,$0,1,42,https://www.district.in/events/chennai-super-kings-team
13,srh vs rcb,2740000,6,810000,$0,1,42,https://www.district.in/events/screening-of-srh-vs-rcb-tata-ipl-2026-may22-2026-buy-tickets
14,tamil download movies,5000000,36,10500,$0.38,1,51,https://www.district.in/events/hibiscus-foundation-may9-2026-buy-tickets
15,csk vs dc,1220000,23,16500,$0.11,1,42,https://www.district.in/events/ipl-ticket-booking
16,csk,3350000,17,45500,$0,1,60,https://www.district.in/events/chennai-super-kings-team
17,rcb vs mi,3350000,9,104704,$0.05,1,43,https://www.district.in/events/screening-of-rcb-vs-mi-tata-ipl-2026-may10-2026-buy-tickets
18,rcb vs dc,5000000,5,662580,$0,1,42,https://www.district.in/events/screening-of-dc-vs-rcb-tata-ipl-2026-apr27-2026-buy-tickets
19,srh vs pbks,823000,10,61350,$0,1,42,https://www.district.in/events/screening-of-pbks-vs-srh-tata-ipl-2026-apr11-2026-buy-tickets
20,gujarat titans vs royal challengers bengaluru,4090000,10,104704,$0.05,1,21,https://www.district.in/events/screening-of-gt-vs-rcb-gujarat-titans-vs-royal-challengers-bengaluru-apr30-2026-buy-tickets
21,srh vs csk,135000,8,220765,$0.19,1,42,https://www.district.in/events/screening-of-csk-vs-srh-tata-ipl-2026-may18-2026-buy-tickets
22,rajasthan royals,1500000,14,37855,$0,1,47,https://www.district.in/events/rajasthan-royals-ipl-2026-team
23,and,2740000,61,5754,$0.13,2,52,https://www.district.in/events/open-mic-and-musical-jamming-may10-2026-buy-tickets
24,lucknow super giants vs punjab kings,2740000,9,70144,$0.09,1,20,https://www.district.in/events/screening-of-lsg-vs-pbks-lucknow-super-giants-vs-punjab-kings-may23-2026-buy-tickets
25,tamil 1 mv,2740000,16,16166,$0.55,1,29,https://www.district.in/movies/mvr-cinemas-dolby-7-1-dolby-atmos-4k-rgb-laser-guduvanchery-in-chennai-CD1101384
26,csk vs mi,5000000,20,11782,$0,1,42,https://www.district.in/events/chennai-super-kings-team
27,csk vs srh,3350000,7,180566,$0,1,42,https://www.district.in/events/screening-of-srh-vs-csk-tata-ipl-2026-apr18-2026-buy-tickets
28,saiyaara movie,1600,12,53978,$0,1,30,https://www.district.in/movies/saiyaara-movie-tickets-MV196147
29,movies,2240000,12,25312,$0.58,2,80,https://www.district.in/movies/
30,royals vs titans,301000,8,105056,$0,1,42,https://www.district.in/events/tata-ipl-2026-match-52-rajasthan-royals-vs-gujarat-titans-may9-2026-buy-tickets
31,sunrisers vs royal challengers,2740000,5,362880,$0,1,34,https://www.district.in/events/screening-of-srh-vs-rcb-tata-ipl-2026-may22-2026-buy-tickets
32,2.0,2740000,26,4704,$0.12,1,48,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-delhi-jul5-2026-buy-tickets
33,gujarat titans,1830000,15,25312,$0,1,47,https://www.district.in/events/gujarat-titans-team
34,mi vs srh,2240000,7,147616,$0,1,42,https://www.district.in/events/screening-of-mi-vs-srh-tata-ipl-2026-apr29-2026-buy-tickets
35,rajasthan royals vs sunrisers hyderabad,2240000,5,217952,$0.07,1,21,https://www.district.in/events/tata-ipl-2026-match-36-rajasthan-royals-vs-sunrisers-hyderabad-apr25-2026-buy-tickets
36,mumbai indians vs rajasthan royals,2740000,26,5376,$0.08,1,34,https://www.district.in/events/ipl-ticket-booking
