No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,petrol pump near me,9140000,8,778540,$0.17,1,34,https://www.justdial.com/Lucknow/Petrol-Pumps-in-Gomti-Nagar/nct-10360538
2,hotel,13600000,28,32640,$0.46,5,83,https://www.justdial.com/Visakhapatnam/Hotels/nct-10255012
3,hotel near me,9140000,7,520590,$0.18,15,35,https://www.justdial.com/Belgaum/Hotels-Rs-501-To-Rs-1000/nct-10255037
4,hotels near me,9140000,9,375180,$0.17,16,76,https://www.justdial.com/Mainpuri/Hotels-Rs-501-To-Rs-1000/nct-10255037
5,restaurants,11100000,9,428666,$0.29,2,61,https://www.justdial.com/Sitapur/Restaurants/nct-10408936
6,restaurant,11100000,30,19194,$0.22,1,53,https://www.justdial.com/Bangalore/Restaurants/nct-10408936/page-8
7,dow jones,7480000,89,12852,$0.59,1,47,https://www.justdial.com/verticals/stocks/price-quote/dow-jones-industrial-average/%5EDJI
8,cng pump near me,4090000,11,120564,$0.20,1,35,https://www.justdial.com/Dwarka-Gujarat/CNG-Filling-Stations/nct-11023015
9,petrol pump,6120000,9,234500,$0.16,1,48,https://www.justdial.com/Kolkata/Petrol-Pumps/nct-10360538
10,hdfc bank,4090000,13,46217,$0.44,1,68,https://www.justdial.com/Bangalore/HDFC-Banks-in-St-Marys-Road/nct-11981990
11,hdfc bank ltd,4090000,16,22904,$0.60,1,40,https://www.justdial.com/Delhi/HDFC-Bank-Ltd/011PXX11-XX11-130830114605-N4J3_BZDET
12,sgx nifty,3350000,38,8589,$0.48,1,47,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty
13,nifty sgx,4090000,41,8589,$1.02,1,30,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty
14,sgx nifty index,4090000,45,8589,$0.77,1,42,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty
15,sgx live,4090000,34,8589,$0.77,1,47,https://www.justdial.com/verticals/stocks/price-quote/sgx-nifty/%5Esgx-nifty
16,suzlon energy stock price,5000000,56,7035,$0.57,1,42,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-bo
17,cashify,3350000,14,30485,$0.03,61,79,https://www.justdial.com/Delhi/Cashify-Mobile-Phone-Shop-Sardar-Colony-Road/011PXX11-XX11-250813145441-A7F6_BZDET
18,suzlon share price,4090000,91,7035,$0.38,1,43,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-ns
19,suzlon energy share price,4090000,66,7035,$0.48,1,34,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-bo
20,suzlon stock price,3350000,74,7035,$0.48,1,41,https://www.justdial.com/verticals/stocks/price-quote/suzlon-energy-limited/suzlon-ns
21,mazi naukri com,3350000,8,85760,$0.53,1,18,https://www.justdial.com/Aurangabad-Maharashtra/Majhi-Naukri-Near-Maji-Sainik-Colony-Padegaon-Jalna-Road-Aurangabad/9999PX240-X240-220519003205-D2F2_BZDET
22,blue dart express ltd,2740000,8,180566,$0.21,1,25,https://www.justdial.com/Malappuram/Blue-Dart-Express-Surya-Nagar-Perumparamb-Areacode/9999PX483-X483-180903153927-D5B8_BZDET
23,bse ltd share price,2740000,78,5754,$0.95,1,34,https://www.justdial.com/verticals/stocks/price-quote/bse-limited/bse-ns
24,bluedart,2740000,14,16166,$0.16,1,61,https://www.justdial.com/Jalandhar/Blue-Dart-Express-Near-Indian-Oil-Depot-Chogetti/0181PX181-X181-191116115937-I4I8_BZDET
25,bse limited share price,2740000,65,5754,$0.31,1,34,https://www.justdial.com/verticals/stocks/price-quote/bse-limited/bse-ns
26,reliance digital,2740000,13,41100,$0.04,9,50,https://www.justdial.com/Bangalore/Reliance-Digital-Near-Rammurthy-Nagar-Banaswadi/080PXX80-XX80-200702012821-E3F2_BZDET
27,blue dart,2740000,4,832960,$0.20,1,48,https://www.justdial.com/Pune/Courier-Services-Blue-Dart-in-Yewalewadi/nct-10145487
28,bluedart express,2740000,10,92612,$0.16,1,48,https://www.justdial.com/Chennai/Blue-Dart-Express/nct-12099485
29,bse ltd stock price,2740000,76,5754,$0.31,1,34,https://www.justdial.com/verticals/stocks/price-quote/bse-limited/bse-ns
30,nifty 50 today,2740000,70,5754,$0.64,1,43,https://www.justdial.com/verticals/stocks/price-quote/nifty-50/%5ENSEI/industries
31,mcdonald's,2740000,30,6028,$0.19,5,62,https://www.justdial.com/Thiruvananthapuram/McDonalds/nct-11976209
32,nifty fifty today,2740000,67,5754,$0.14,1,42,https://www.justdial.com/verticals/stocks/price-quote/nifty-50/%5ENSEI/industries
33,porn movie,2740000,80,5754,$0,1,56,https://www.justdial.com/streaming/watch-movies-online/Cycles-of-Porn-SexLife-in-LA-Part-2/1533775362212
34,atm near me,2740000,20,11782,$0.01,1,42,https://www.justdial.com/Hyderabad/ATM/nct-10022961
35,cng near me,2740000,12,41100,$0.09,1,42,https://www.justdial.com/Jodhpur/CNG-Filling-Stations/nct-11023015
36,wine shop near me,2740000,5,832960,$0,1,34,https://www.justdial.com/Dahod/Wine-Retailers/nct-10573041
37,sbi share price today,2240000,92,4704,$0.31,1,34,https://www.justdial.com/verticals/stocks/price-quote/state-bank-of-india/sbin-ns
38,icici bank limited,2240000,22,7392,$0.61,1,32,https://www.justdial.com/Mumbai/ICICI-Banking-Corporation-Limited-Nariman-Point/022P1903391_BZDET
39,reliance share price,2240000,61,4704,$0.46,1,42,https://www.justdial.com/verticals/stocks/price-quote/reliance-industries-ltd/reliance-ns/corporate
40,dow jones live,2240000,73,4704,$0.47,1,42,https://www.justdial.com/verticals/stocks/price-quote/dow-jones-industrial-average/%5EDJI
41,tata motors share price today,3350000,77,4704,$0.30,1,34,https://www.justdial.com/verticals/stocks/price-quote/tata-motors-limited/tatamotors-ns
42,sbi stock price,2240000,79,4704,$0.91,1,47,https://www.justdial.com/verticals/stocks/price-quote/state-bank-of-india/sbin-ns
43,nifty share price,2240000,48,4704,$0.23,1,42,https://www.justdial.com/verticals/stocks/price-quote/nifty-50/%5ENSEI/industries
44,share price of tata motors,3350000,87,4704,$0.32,1,34,https://www.justdial.com/verticals/stocks/price-quote/tata-motors-limited/tatamotors-ns
45,airtel support number,2240000,9,44128,$0.26,1,32,https://www.justdial.com/Mumbai/24-Hours-Mobile-Phone-Customer-Services-Airtel/nct-11218641
46,kfc,2240000,20,12544,$0.17,4,62,https://www.justdial.com/Hyderabad/KFC/nct-11979374
47,airtel customer care number,1830000,4,217952,$0.41,1,38,https://www.justdial.com/Delhi/Airtel-Customer-Care/011P554813_BZDET
48,reliance industries ltd share price,2240000,46,4704,$0.45,1,34,https://www.justdial.com/verticals/stocks/price-quote/reliance-industries-ltd/reliance-ns/corporate
49,bel stock price,2240000,90,4704,$1.54,1,38,https://www.justdial.com/verticals/stocks/price-quote/bharat-electronics-ltd/bel-ns
50,spa near me,2240000,6,362880,$0.31,30,52,https://www.justdial.com/Lucknow/24-Hours-Beauty-Spas-in-Gomti-Nagar/nct-11282695
51,kotak mahindra bank,1830000,24,7392,$2.08,11,46,https://www.justdial.com/Mumbai/Kotak-Mahindra-Banks/nct-11982427
52,customer care number of airtel,2240000,5,147616,$0.24,1,34,https://www.justdial.com/Delhi/Airtel-Customer-Care/011P554813_BZDET
53,cafe near me,2240000,10,75712,$0.13,11,60,https://www.justdial.com/Indore/Coffee-Shops/nct-10104727
54,swiggy,2240000,22,7392,$0.13,11,64,https://www.justdial.com/Bangalore/Swiggy/080PXX80-XX80-221009013235-M1Q9_BZDET
55,bank of baroda,2240000,39,4704,$0.32,1,42,https://www.justdial.com/Chennai/Bank-Of-Baroda/nct-11978763
56,tata motors share price,4090000,82,4704,$0.35,1,34,https://www.justdial.com/verticals/stocks/price-quote/tata-motors-limited/tatamotors-ns
57,union bank of india,1830000,21,9632,$0.40,1,34,https://www.justdial.com/Bangalore/Union-Bank-Of-India-Koramangala/080PXX80-XX80-140125111011-X2B7_BZDET
58,sbi atm,1500000,15,25312,$0.10,1,47,https://www.justdial.com/Indore/State-Bank-Of-India-ATMS/nct-11979897
59,tata motors ltd share price,4090000,102,4704,$0.53,1,45,https://www.justdial.com/verticals/stocks/price-quote/tata-motors-limited/tatamotors-ns
60,bel share price,2240000,48,4704,$0.44,1,45,https://www.justdial.com/verticals/stocks/price-quote/bharat-electronics-ltd/bel-ns
61,icici bank ltd,2240000,33,4704,$0.61,1,56,https://www.justdial.com/Mumbai/ICICI-Bank-Ltd-Fort/022P4700110_BZDET
62,tata motors stock price,1830000,75,4704,$0.43,1,34,https://www.justdial.com/verticals/stocks/price-quote/tata-motors-limited/tatamotors-ns
63,reliance share price today,2240000,77,4704,$0.45,1,34,https://www.justdial.com/verticals/stocks/price-quote/reliance-industries-ltd/reliance-ns/corporate
64,reliance industries share price,550000,63,4704,$0.42,1,34,https://www.justdial.com/verticals/stocks/price-quote/reliance-industries-ltd/reliance-ns/corporate
