No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,desi tales,2740000,8,53978,$0,1,28,https://lbb.in/delhi/Desi-Tales-781354/
2,wine shop near me,2740000,29,5754,$0,1,34,https://lbb.in/delhi/wine-beer-shops-delhi/
3,indira nagar,823000,9,33800,$0.47,8,50,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/
4,indira nagar in bangalore,823000,10,33800,$0.31,7,37,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/
5,wine shop wine,1000000,18,7500,$0.08,1,15,https://lbb.in/hyderabad/best-wine-shops/
6,mall near me,1000000,12,25600,$0.31,5,44,https://lbb.in/bangalore/best-malls-in-bangalore/
7,library closest to me,1000000,7,97300,$0.03,2,25,https://lbb.in/delhi/public-libraries-in-delhi-membership/
8,library near me,1000000,15,11300,$0.29,2,56,https://lbb.in/delhi/public-libraries-in-delhi-membership/
9,wine wine shop,1000000,20,5600,$0.08,1,14,https://lbb.in/kolkata/shops-in-kolkata-for-wines/
10,wine and shop,1000000,13,15000,$0.05,1,17,https://lbb.in/kolkata/shops-in-kolkata-for-wines/
11,bangalore,1220000,35,2100,$0.19,1,62,https://lbb.in/bangalore/
12,south india bangalore,1000000,35,2100,$0.32,1,49,https://lbb.in/bangalore/post/south-indian/
13,bangalore south india,1000000,20,5600,$0.32,1,50,https://lbb.in/bangalore/post/south-indian/
14,wine shop wine shop,1000000,8,65900,$0.34,1,30,https://lbb.in/kolkata/shops-in-kolkata-for-wines/
15,wine shop,1000000,32,2100,$0.83,1,47,https://lbb.in/delhi/big-way-wine-beer-65f5b1/
16,shivaji nagar,823000,51,2100,$0.18,5,49,https://lbb.in/bangalore/locality/shivaji-nagar-bangalore/
17,indiranagar,823000,10,33800,$0.31,7,63,https://lbb.in/bangalore/100-feet-road-indiranagar-bangalore/
18,chandni chowk,673000,14,9299,$0.94,4,49,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/
19,ambience mall,673000,59,1728,$1.07,10,51,https://lbb.in/delhi/ambience-mall-vasant-kunj-65aacb/
20,karol bagh delhi,673000,30,1728,$0.21,10,46,https://lbb.in/delhi/locality/karol-bagh-delhi/
21,tambaram chennai,550000,74,1728,$0.99,10,51,https://lbb.in/chennai/locality/tambaram-chennai/
22,karol bagh,673000,10,27817,$0.27,10,51,https://lbb.in/delhi/karol-bagh-hood-guide/
23,chandni chowk in india,823000,61,1728,$0.12,3,34,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/
24,new delhi karol bagh,823000,19,4608,$0.15,4,30,https://lbb.in/delhi/karol-bagh-hood-guide/
25,ambience mall gurgaon,673000,15,6172,$1.07,10,46,https://lbb.in/delhi/bookmark-ambience-mall-gurgaon/
26,chandni chowk in new delhi,823000,26,1975,$0.12,3,26,https://lbb.in/delhi/shop-sarees-silver-stationery-chandni-chowk-shopping-guide/
27,hebbal,673000,74,1413,$0.20,7,63,https://lbb.in/bangalore/locality/hebbal-bangalore/
28,gyms,673000,28,1547,$0.51,3,61,https://lbb.in/goa/best-gyms-in-goa/
29,sadar bazaar,550000,15,6124,$0,9,50,https://lbb.in/delhi/sadar-bazaar-delhi-cant-c86299/
30,lal bagh botanical garden,673000,45,1413,$0.67,6,36,https://lbb.in/bangalore/lal-bagh-botanical-garden-bangalore/
31,just watches,673000,25,1547,$0.20,1,48,https://lbb.in/mumbai/just-watches-7a993f/
32,sadar bazar,550000,15,7604,$0,9,50,https://lbb.in/delhi/sadar-bazaar-delhi-cant-c86299/
33,gym,823000,66,1413,$0.32,2,70,https://lbb.in/kolkata/gyms-in-kolkata/
34,lal bagh,673000,63,1413,$0.67,6,49,https://lbb.in/bangalore/lalbagh-66803a/
35,dadar,450000,13,13258,$0,9,63,https://lbb.in/mumbai/things-to-do-in-dadar-west/
36,bangalore orion mall,673000,16,3970,$0.11,5,44,https://lbb.in/bangalore/orion-mall/
37,lakshmi nagar delhi,550000,88,1413,$0.32,3,43,https://lbb.in/delhi/locality/laxmi-nagar-delhi/
38,bangalore koramangala,673000,14,7604,$0.18,6,33,https://lbb.in/bangalore/food-shopping-top-things-to-do-in-koramangala/
39,swimming pool near me,550000,29,1480,$0.20,5,36,https://lbb.in/delhi/swimming-pools-delhi-ncr/
40,swimming pool closest to me,550000,10,22747,$0.06,5,41,https://lbb.in/delhi/swimming-pools-delhi-ncr/
41,swimming pools close to me,550000,9,31563,$0.05,5,28,https://lbb.in/bangalore/public-swimming-pools-bangalore/
42,sarojini market in new delhi,550000,22,2365,$0.03,1,26,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
43,bangalore hsr,550000,18,3245,$0.13,7,42,https://lbb.in/bangalore/locality/hsr-bangalore/
44,borivali,368000,38,1155,$0.31,9,63,https://lbb.in/mumbai/things-to-do-borivali/
45,hsr bangalore,550000,16,3245,$0.13,9,50,https://lbb.in/bangalore/things-to-do-hsr-layout/
46,gachibowli hyd,550000,51,1155,$0.16,7,38,https://lbb.in/hyderabad/gachibowli-9db624/
47,new delhi lajpat nagar,550000,40,1155,$0.16,4,22,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/
48,delhi sarojini nagar market,550000,24,1815,$0,1,34,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
49,dad's day,550000,84,1155,$0.37,1,67,https://lbb.in/delhi/daddys-day-out-fathers-day/
50,lajpat nagar new delhi,550000,32,1155,$0.16,4,21,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/
51,sarojini nagar market new delhi,550000,11,14080,$0.04,1,19,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
52,sarojini nagar market in delhi,550000,20,2805,$0,1,34,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
53,gachibowli,550000,69,1155,$0.31,8,63,https://lbb.in/hyderabad/top-things-to-do-gachibowli/
54,sarojini nagar market,550000,16,6215,$0,1,43,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
55,sarojini nagar delhi market,550000,18,3245,$0.19,1,39,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
56,new delhi sarojini nagar market,550000,27,1815,$0.04,1,21,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
57,sarojini market of delhi,550000,22,2365,$0.09,1,30,https://lbb.in/delhi/sarojini-nagar-shopping-guide/
58,gachibowli hyderabad,550000,33,1155,$0.16,11,39,https://lbb.in/hyderabad/gachibowli-9db624/
59,lajpat nagar delhi,550000,17,4125,$0.16,4,44,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/
60,hyderabad to golconda fort,450000,30,945,$0.07,10,34,https://lbb.in/hyderabad/golconda-fort-hyderabad/
