No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,petrol pump near me,9140000,12,249000,$0.17,1,34,https://www.mappls.com/petrol-pump-near-me
2,map,7480000,9,233984,$0.02,1,60,https://about.mappls.com/app/
3,cng pump near me,4090000,17,36108,$0.20,1,35,https://www.mappls.com/cng%20station-near-me
4,hindustan petroleum corporation limited,823000,27,11500,$0.88,3,35,https://www.mappls.com/p0837k
5,india maps,2740000,25,7398,$0.01,80,47,https://www.mappls.com/
6,map indian,2740000,22,7398,$0.01,80,50,https://www.mappls.com/
7,india map,3350000,20,11782,$0.25,18,53,https://www.mappls.com/
8,sbi atm,1500000,27,5152,$0.10,1,47,https://www.mappls.com/xearst
9,majestic,1500000,35,3843,$0,4,62,https://www.mappls.com/place-majestic-221-4th+main+road-chamarajpet-bengaluru-karnataka-560018-FDADF1@zdata=MTIuOTU4MDU5Kzc3LjU2NzIyOSsxNytGREFERjErK25yed
10,kashmiri gate,1220000,44,3150,$0.08,3,48,https://www.mappls.com/ec5fb5
11,anand vihar railway station,550000,29,2562,$0,8,37,https://www.mappls.com/53f6bt
12,anand vihar terminal,1000000,31,2562,$0.03,5,44,https://www.mappls.com/place-anand+vihar+terminal+railway+station-anand+vihar+megha+terminal-railway+station-near+isbt+anand+vihar-patparganj+industrial+area-new+delhi-delhi-110092-53F6BT@zdata=MjguNjQ4ODE0Kzc3LjMxNTQ4NysxNys1M0Y2QlQrK25yed
13,airtel store,1500000,11,31232,$0.30,3,48,https://www.mappls.com/9dnb7s
14,patna junction railway station,823000,26,2684,$0,9,37,https://www.mappls.com/d47632
15,anand vihar terminal railway station,550000,27,2684,$0,8,37,https://www.mappls.com/place-anand+vihar+terminal+railway+station-anand+vihar+megha+terminal-railway+station-near+isbt+anand+vihar-patparganj+industrial+area-new+delhi-delhi-110092-53F6BT@zdata=MjguNjQ4ODE0Kzc3LjMxNTQ4NysxNys1M0Y2QlQrK25yed
16,secunderabad jn,1000000,42,2100,$0.10,4,32,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed
17,old delhi junction,1220000,67,2100,$0,3,43,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed
18,krishna vijayawada,1000000,42,2100,$0.16,2,19,https://www.mappls.com/ag88ln
19,wine shopee,1000000,4,97300,$0.08,1,21,https://www.mappls.com/1tvk4c
20,vijay sales,823000,16,9100,$7.45,42,60,https://www.mappls.com/rg27ux
21,delhi old delhi railway station,1000000,51,2100,$0.08,2,24,https://www.mappls.com/6d3s13
22,secunderabad junction railway station,1000000,28,2100,$0.08,4,21,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed
