No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,yous,4090000,87,8589,$0.01,1,60,https://www.olx.in/item/mobile-phones-c1453-used-xiaomi-in-mankhurd-mumbai-iid-1840381612
2,olx,4090000,1,1243360,$0.14,1,60,https://www.olx.in/
3,cashify,3350000,67,7035,$0.03,61,79,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-triplicane-chennai-iid-1840325048
4,bluedart,2740000,26,5754,$0.16,1,61,https://www.olx.in/en-in/devadurga_g4395251/delivery-collection_c2205
5,testbook,2240000,47,4704,$0.15,1,61,https://www.olx.in/item/books-c453-hindi-testbook-12th-standard-in-rabale-navi-mumbai-iid-1840364533
6,youtube video,2240000,37,4704,$0.02,3,82,https://www.olx.in/item/cook-c2202-part-time-in-tughlakabad-delhi-iid-1840310461
7,lenskart,1830000,46,3843,$0.23,23,67,https://www.olx.in/item/men-c1793-lenskart-eye-frame-with-blue-cut-lens-with-zero-power-in-khojwa-varanasi-iid-1837982996
8,croma,1830000,56,3843,$0.04,30,70,https://www.olx.in/item/tvs-video-audio-c1523-croma-32-inch-lcd-tv-non-smart-good-condition-in-gazi-band-hyderabad-iid-1840363592
9,apple,1830000,46,3843,$0.07,27,77,https://www.olx.in/mobile-phones_c1453?filter=make_eq_iphone
10,driving,1500000,23,7869,$0.64,1,60,https://www.olx.in/blog/cars/car-driving-tips/
11,life insurance corporation,1830000,62,3843,$0.09,13,46,https://www.olx.in/item/sales-marketing-c62-part-time-in-vaishali-nagar-ajmer-iid-1840372552
12,hunter 350,1220000,28,3600,$0.05,4,49,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-hunter-350
13,charminar hyderabad,1500000,42,3150,$0.11,7,50,https://www.olx.in/item/delivery-collection-c2205-part-time-in-charminar-hyderabad-iid-1840250520
14,bullet 350,1500000,40,3150,$0.44,1,42,https://www.olx.in/en-in/kolkata_g4157275/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-bullet-standard-350
15,fast job,1220000,26,3150,$0.34,1,47,https://www.olx.in/item/other-jobs-c65-full-time-in-harijan-vas-chaklasi-iid-1840329494
16,4th,1500000,74,3150,$0.24,1,42,https://www.olx.in/item/tablets-c1455-ipads-in-ramagondanahalli-bengaluru-iid-1840367257
17,phone pe,1500000,51,3150,$0.04,1,67,https://www.olx.in/item/sales-marketing-c62-full-time-in-bank-more-dhanbad-iid-1840344628
18,iphone 16 pro,1500000,35,3150,$0.02,95,49,https://www.olx.in/mobiles_c1411/q-iphone-16
19,india gate,1500000,105,3150,$0.09,3,33,https://www.olx.in/india-gate_g5327416/spare-parts_c1587?page=5
20,xxl,1000000,48,2562,$0.44,1,60,https://www.olx.in/item/women-c1795-beautiful-embroidered-wedding-lehenga-xxl-size-in-yelahanka-bengaluru-iid-1840355863
21,royal enfield classic 350,1220000,27,3294,$0.11,5,36,https://www.olx.in/en-in/motorcycles_c81/q-classic-2018
22,instamart,1220000,18,5246,$0.08,14,65,https://www.olx.in/en-in/thirumala_g5317267/delivery-collection_c2205
23,hosur,1000000,22,5246,$0,6,62,https://www.olx.in/en-in/hosur_g4059174/driver_c2206
24,cars,1220000,33,2562,$0.11,5,88,https://www.olx.in/cars_c84
25,classic 350 royal enfield,1220000,21,5246,$0.42,2,43,https://www.olx.in/motorcycles_c81/q-royal-enfield-classic-350
26,mysore,1000000,55,2562,$0.73,3,76,https://www.olx.in/en-in/item/other-jobs-c65-part-time-in-mysore-mysuru-iid-1840290560
27,gt 650,1220000,20,6832,$0.01,1,47,https://www.olx.in/en-in/bikes_c2198/q-gt-650
28,dtdc,1000000,28,2100,$0.08,2,61,https://www.olx.in/item/office-assistant-c2201-full-time-in-begumpet-secunderabad-iid-1840611905
29,vrindavan up,1000000,24,4300,$0.36,1,48,https://www.olx.in/en-in/vrindavan_g4059352/properties_c3
30,indira nagar in bangalore,823000,27,2300,$0.31,7,37,https://www.olx.in/en-in/indira-nagar_g5437579/jobs_c4
31,defender price,673000,25,2700,$0.25,4,49,https://www.olx.in/en-in/cars_c84/q-defender
32,ooty,823000,36,2100,$0.19,3,61,https://www.olx.in/en-in/ooty_g4059226/office-assistant_c2201
33,coursera,1000000,83,1974,$1.58,40,78,https://www.olx.in/item/education-classes-c1429-skill-development-in-electronic-city-bengaluru-iid-1840359101
34,spot on mobile screen,1000000,11,19700,$0,1,23,https://www.olx.in/mobile-phones_c1453/q-spot?filter=make_eq_iphone-and-state_eq_refurbished_mobile_phones
35,defender car price,823000,27,2300,$0.27,4,44,https://www.olx.in/en-in/cars_c84/q-defender
36,iphone 15 pro,1000000,42,2100,$0.01,89,41,https://www.olx.in/en-in/items/q-new-iphone-15-pro
37,firstcry,1000000,42,2100,$0.10,51,76,https://www.olx.in/item/sales-marketing-c62-full-time-in-kazhakoottam-thiruvananthapuram-iid-1840326702
38,mt 15,1000000,39,2100,$0.01,11,51,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-yamaha-mt-15
39,shivaji nagar,823000,26,2300,$0.18,5,49,https://www.olx.in/shivaji-nagar_g5314117/furniture_c628
40,vrindavan prem mandir,246000,43,1728,$0.07,4,44,https://www.olx.in/en-in/vrindavan_g4059352/jobs_c4
41,bike,673000,24,1975,$0.01,8,63,https://www.olx.in/motorcycles_c81
42,nios,673000,21,3538,$0.74,1,60,https://www.olx.in/thiruvananthapuram_g4058889/cars_c84?filter=model_eq_hyundai-grand-i10-nios
43,mobiles,823000,39,1728,$0.07,95,89,https://www.olx.in/mobile-phones_c1453
44,iphone 13 pro,823000,27,1975,$0.01,70,46,https://www.olx.in/mobile-phones_c1453/q-iphone-13-pro
45,royal enfield hunter 350,673000,21,3538,$0.06,10,38,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-hunter-350
