No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,restaurants near me,16600000,5,4033800,$0.16,6,49,https://www.swiggy.com/restaurants-near-me
2,restaurants,11100000,6,1480680,$0.29,2,61,https://www.swiggy.com/restaurants
3,restaurant,11100000,8,602326,$0.22,1,53,https://www.swiggy.com/dineout
4,desi tales,2740000,7,70144,$0,1,28,https://www.swiggy.com/city/orai/desi-tales-ram-nagar-rest1280547
5,mcdonald's,2740000,23,11782,$0.19,5,62,https://www.swiggy.com/city/delhi/mcdonalds-preet-vihar-new-delhi-rest1162381
6,powerbank deals,74000,81,4704,$0.03,73,42,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5208
7,kfc,2240000,18,16800,$0.17,4,62,https://www.swiggy.com/city/mumbai/kfc
8,cafe near me,2240000,9,105056,$0.13,11,60,https://www.swiggy.com/restaurants-near-me
9,swiggy,2240000,1,680960,$0.13,11,64,https://www.swiggy.com/
10,cafes near me,2240000,11,44128,$0.21,12,46,https://www.swiggy.com/city/bangalore/cafe-cuisine-restaurants
11,zomato,1830000,14,13725,$0.05,5,78,https://www.swiggy.com/city/faridabad/zomato-sector-48-new-industrial-township-rest506978
12,idli,1830000,15,27450,$0.20,3,61,https://www.swiggy.com/instamart/recipe/idli
13,bar near me,1000000,5,197640,$0.20,6,44,https://www.swiggy.com/best-bars-restaurants-dineout-near-me
14,instamart,1220000,1,370880,$0.08,14,65,https://www.swiggy.com/instamart
15,burger king,1000000,20,6832,$0.25,2,48,https://www.swiggy.com/city/bangalore/burger-king
16,bars near me,1000000,5,197640,$0.16,6,44,https://www.swiggy.com/best-bars-restaurants-dineout-near-me
17,grocery store near me,368000,4,304000,$0.73,1,35,https://www.swiggy.com/instamart
18,grocery close to me,823000,4,304000,$0.31,1,63,https://www.swiggy.com/instamart
19,nearest grocery stores to me,1000000,7,97300,$0.27,1,33,https://www.swiggy.com/instamart
20,connaught place,823000,112,2100,$0.93,5,49,https://www.swiggy.com/city/delhi/china-town-connaught-place-rest320262
21,indian kolkata,1000000,14,19700,$0.25,1,46,https://www.swiggy.com/city/kolkata/modern-indian-cuisine-restaurants
22,south india chennai,823000,88,2100,$0.48,1,36,https://www.swiggy.com/city/chennai/south-indian-cuisine-restaurants
23,secunderabad jn,1000000,57,2100,$0.10,4,32,https://www.swiggy.com/order-food-online-in-train
24,veg cafe near me,1000000,5,162000,$0.23,10,32,https://www.swiggy.com/veg-restaurants-near-me
25,mcdonald's nearest to me,1000000,11,25600,$0.03,4,46,https://www.swiggy.com/mcdonalds-near-me
26,web s,1000000,104,2100,$0.69,6,66,https://www.swiggy.com/
27,near me mcdonald,1000000,7,65900,$0.03,3,29,https://www.swiggy.com/mcdonalds-near-me
28,near me mcd,4400,9,33800,$0.05,4,38,https://www.swiggy.com/mcdonalds-near-me
29,restaurants near me with vegetarian,1000000,6,162000,$0.04,12,23,https://www.swiggy.com/veg-restaurants-near-me
30,t's bar and grill,1000000,17,4300,$0.05,1,23,https://www.swiggy.com/restaurants/t-grill-narayanaguda-hyderabad-903919/dineout
31,coffee near me,1000000,6,162000,$0.32,5,44,https://www.swiggy.com/hot-coffee-dish-restaurants-near-me
32,veg restaurants near me,1000000,4,304000,$0.17,8,57,https://www.swiggy.com/veg-restaurants-near-me
33,vegetarian restaurants near me,1000000,5,162000,$0.20,10,38,https://www.swiggy.com/veg-order-online-near-me
34,domino's,1000000,15,9100,$0.12,3,66,https://www.swiggy.com/city/bangalore/dominos-pizza
35,near me mcdonald's,4400,11,25600,$0.05,4,52,https://www.swiggy.com/mcdonalds-near-me
36,secunderabad jn railway station,1000000,43,2100,$0.10,4,25,https://www.swiggy.com/order-food-online-in-train
37,bangalore south india,1000000,37,2100,$0.32,1,50,https://www.swiggy.com/city/bangalore/south-indian-cuisine-restaurants
38,mcdonald's near me,1000000,7,65900,$0.14,2,43,https://www.swiggy.com/mcdonalds-near-me
39,indiranagar,823000,12,19700,$0.31,7,63,https://www.swiggy.com/city/bangalore/indiranagar-restaurants
40,dot and key,550000,67,1728,$0.29,99,38,https://www.swiggy.com/stores/instamart/p/dot-key-sunscreen-spf-50-pa-with-vitamin-c-e-D0F3H7V9OA
41,kfc near me,673000,8,54235,$0.09,12,46,https://www.swiggy.com/kfc-near-me
42,store close to me,823000,9,21068,$0.12,5,41,https://www.swiggy.com/instamart
43,justdial,823000,54,1728,$0.50,7,63,https://www.swiggy.com/support/issues/faq
44,kentucky fried chicken near by me,823000,9,54235,$0.08,7,29,https://www.swiggy.com/kfc-near-me
45,united fried chicken,673000,5,80077,$0.29,1,21,https://www.swiggy.com/city/guntur/ufc-united-fried-chicken-brindavan-gardens-lakshmipuram-rest509569
46,dhaba near me,550000,6,65482,$0.13,4,44,https://www.swiggy.com/city/delhi/punjabi-dhaba
47,adyar ananda bhavan a2b,550000,12,17228,$0.21,6,33,https://www.swiggy.com/city/chennai/a2b-adyar-ananda-bhavan-george-town-rest1106745
48,hdfc bank atm customer care number,673000,58,1413,$0,1,27,https://www.swiggy.com/swiggy-hdfc-bank-credit-card
49,gurgaon indian,550000,8,65482,$0.14,2,22,https://www.swiggy.com/city/gurgaon/indian-cuisine-restaurants
50,ayodhya location,1000000,113,1413,$0.14,1,47,https://www.swiggy.com/instamart
51,food near me,673000,5,109026,$0.24,9,46,https://www.swiggy.com/restaurants-near-me
52,nearest domino's from me,673000,10,13258,$0.08,7,28,https://www.swiggy.com/dominos-pizza-near-me
53,choc o late,673000,42,1413,$0.01,62,24,https://www.swiggy.com/city/hyderabad/xocolatl-himayath-nagar-rest985604
54,barbeque nation,550000,14,10095,$0.22,2,48,https://www.swiggy.com/city/bangalore/barbeque-nation
55,dominos near me,673000,11,17228,$0.15,3,43,https://www.swiggy.com/dominos-pizza-near-me
56,domino's pizza,1000000,17,5047,$0.18,3,48,https://www.swiggy.com/city/bangalore/dominos-pizza
57,gurgaon,550000,23,2893,$0.81,2,56,https://www.swiggy.com/city/gurgaon
58,biryani near.me,550000,5,89100,$0.09,7,20,https://www.swiggy.com/chicken-biryani-dish-restaurants-near-me
59,biryani near me,450000,5,89100,$0.18,6,22,https://www.swiggy.com/biryani-restaurants-near-me
60,baking near me,550000,19,3080,$0.07,13,22,https://www.swiggy.com/city/haridwar/cakes-and-bakes-krishna-nagar-kankhal-rest808065
61,bakeries near me,550000,16,4125,$0.13,11,46,https://www.swiggy.com/city/muzaffarnagar/bakery-dish-restaurants
62,the belgian waffle co,301000,8,36245,$0.19,9,37,https://www.swiggy.com/city/delhi/the-belgian-waffle-co
63,bakery close to me,450000,5,89100,$0.16,8,37,https://www.swiggy.com/bakery-restaurants-near-me
64,nothing phone 3a,450000,28,1210,$0.04,100,41,https://www.swiggy.com/instamart/p/nothing-phone-3a-8-gb-ram-256-gb-storage-5000-mah-battery-50-mp-50-mp-8-mp-rear-camera-6-77-display-white-Y3VEF7044C
65,pizza,550000,11,25795,$0.14,7,63,https://www.swiggy.com/collections/83631?collection_id=83631&search_context=pizza&tags=layout_CCS_Pizza&type=rcv2
66,haldiram,550000,19,4125,$0.07,13,64,https://www.swiggy.com/city/delhi/haldirams
67,earphones with earbuds,550000,24,1485,$0.03,97,38,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5663
68,earbuds and headphones,550000,39,1155,$0.03,96,71,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5663
69,bakery near me,450000,6,89100,$0.15,9,45,https://www.swiggy.com/city/vijayawada/bakery-cuisine-restaurants
70,restaurants nearby,450000,6,89100,$0.53,5,49,https://www.swiggy.com/restaurants-near-me
71,naturals ice cream,368000,9,25795,$0.09,5,44,https://www.swiggy.com/city/mumbai/natural-ice-cream
72,best restaurants near me,450000,6,43785,$0.21,12,71,https://www.swiggy.com/restaurants-near-me
73,best meal near me,450000,3,72900,$0.17,11,38,https://www.swiggy.com/restaurants-near-me
74,ice creams,550000,11,15210,$0.30,21,54,https://www.swiggy.com/collections/83640?collection_id=83640&tags=layout_CCS_IceCreams&type=rcv2
75,oneplus 13r,550000,36,945,$0.03,99,77,https://www.swiggy.com/instamart/p/oneplus-13r-12-gb-ram-256-gb-storage-6000-mah-battery-50-mp-rear-camera-6-78-display-nebula-noir-FX8HVM55XI
76,muscleblaze,450000,21,1485,$0.12,95,89,https://www.swiggy.com/instamart/city/bangalore/b/muscleblaze
77,domino's pizza near me,368000,17,3375,$0.18,3,35,https://www.swiggy.com/dominos-pizza-near-me
78,sultanpur,368000,77,945,$8.67,1,61,https://www.swiggy.com/city/sultanpur/sultanpur-pizza-panchayat-gate-nagar-tikonia-park-rest504925
79,roorkee uk,450000,17,3375,$0.06,1,20,https://www.swiggy.com/city/roorkee/uk-macchiwala-civil-lines-roorkee-talkies-rest823673
80,muscle blaze,368000,30,945,$0.19,96,76,https://www.swiggy.com/instamart/city/noida/b/muscleblaze
81,best meals near me,450000,6,72900,$0.17,11,38,https://www.swiggy.com/restaurants-near-me
82,best food restaurants near me,450000,5,72900,$0.23,14,39,https://www.swiggy.com/restaurants-near-me
83,indian karnal,450000,23,1935,$0.13,1,21,https://www.swiggy.com/city/karnal/the-great-indian-food-sector-13-dyal-singh-colony-rest376717
84,one plus 13r,450000,39,945,$0.03,95,71,https://www.swiggy.com/instamart/p/oneplus-13r-12-gb-ram-256-gb-storage-6000-mah-battery-50-mp-rear-camera-6-78-display-nebula-noir-FX8HVM55XI
85,best eateries near me,450000,6,72900,$0.21,12,38,https://www.swiggy.com/restaurants-near-me
86,dominos near me near me,450000,10,15210,$0.07,3,37,https://www.swiggy.com/dominos-pizza-near-me
87,ice cream,550000,29,1035,$0.24,66,53,https://www.swiggy.com/city/chennai/ice-cream-cuisine-restaurants
88,coimbatore gandhipuram,450000,49,945,$0.40,5,49,https://www.swiggy.com/city/coimbatore/ss-hyderabad-biryani-dr-rajendra-prasad-road-gandhipuram-rest405679
89,delhi majnu tilla,301000,8,24251,$0.12,3,26,https://www.swiggy.com/city/delhi/majnu-ka-tila-restaurants
90,burger king near me,368000,8,24251,$0.26,2,35,https://www.swiggy.com/burger-king-near-me
91,veg,368000,18,2760,$0.01,34,64,https://www.swiggy.com/veg-order-online-near-me
92,foods in odisha,368000,58,772,$0,1,28,https://blog.swiggy.com/food/traditional-food-of-odisha-must-try-food/
93,burger king nearest to me,368000,8,24251,$0.04,6,15,https://www.swiggy.com/burger-king-near-me
94,cookies,301000,85,772,$0.09,21,37,https://blog.swiggy.com/food/eight-different-types-of-cookies/
95,starbucks near me,301000,8,24251,$0.71,3,43,https://www.swiggy.com/starbucks-coffee-near-me
96,star box near me,368000,12,9420,$0.05,3,38,https://www.swiggy.com/city/hyderabad/starbucks-coffee
97,church street,301000,12,7249,$0.01,15,52,https://www.swiggy.com/city/bangalore/church-street-restaurants
98,original gangster,368000,20,1876,$0,1,47,https://www.swiggy.com/instamart/pc/original-gangster-booklet-of-32-brown-leaves-and-32-tips-king-sized-OHFOYQLR8Y
99,anand's,368000,42,772,$0.12,1,49,https://www.swiggy.com/city/noida/anands-chicken-subhash-market-naya-ganj-ghaziabad-rest1086607
100,food in odisha,368000,41,772,$0,1,35,https://blog.swiggy.com/food/traditional-food-of-odisha-must-try-food/
101,swiggy instamart,368000,1,111872,$0.04,14,52,https://www.swiggy.com/instamart
102,select citywalk new delhi delhi,368000,20,1582,$0.07,4,29,https://www.swiggy.com/city/delhi/select-citywalk-mall-landmark-restaurants-dineout
103,food,368000,13,12438,$0.32,3,72,https://www.swiggy.com/
104,bar,368000,27,883,$0.14,2,36,https://www.swiggy.com/city/ludhiana/best-bars-restaurants-dineout
105,pure veg restaurants near me,301000,4,111872,$0.10,8,37,https://www.swiggy.com/veg-restaurants-near-me
106,haldiram near me,301000,10,12438,$0.16,2,43,https://www.swiggy.com/city/delhi/haldirams
107,baskin robbins,301000,55,772,$0.04,4,49,https://www.swiggy.com/stores/instamart/search?query=Apsara+Ice+Creams
108,near me burger king,450000,9,17259,$0.03,7,13,https://www.swiggy.com/burger-king-near-me
