No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,restaurants near me,16600000,4,7569600,$0.16,6,49,https://www.zomato.com/restaurants-near-me
2,fb,16600000,16,71380,$0.01,1,75,https://www.zomato.com/chennai/fb-cakes-ramapuram
3,hotels near me,9140000,57,23310,$0.17,16,76,https://www.zomato.com/mumbai/krishna-hotel-near-andheri-east-station
4,yt,9140000,12,125430,$0.01,1,60,https://www.zomato.com/kolkata/yt-restaurant-dum-dum
5,restaurants,11100000,4,2778560,$0.29,2,61,https://www.zomato.com/bangalore/restaurants
6,restaurant,11100000,10,308932,$0.22,1,53,https://www.zomato.com/mumbai/restaurants
7,desi tales,2740000,4,180566,$0,1,28,https://www.zomato.com/amritsar/desi-tales-1-gndu-area/menu
8,temp,2240000,9,41100,$0.43,1,60,https://www.zomato.com/chennai/temp-fried-chicken-nungambakkam
9,mcdonald's,2740000,14,41100,$0.19,5,62,https://www.zomato.com/bangalore/mcdonalds-bannerghatta-road-bangalore
10,wine shop near me,2740000,11,70144,$0,1,34,https://www.zomato.com/kolkata/restaurants/dish-wine
11,kfc,2240000,13,57344,$0.17,4,62,https://www.zomato.com/ncr/restaurants/kfc?category=1
12,cafe near me,2240000,4,680960,$0.13,11,60,https://www.zomato.com/cafes-near-me
13,cafes near me,2240000,4,680960,$0.21,12,46,https://www.zomato.com/cafes-near-me
14,zomato,1830000,1,556320,$0.05,5,78,https://www.zomato.com/
15,hd hub,1830000,6,61854,$0.45,1,47,https://www.zomato.com/jaipur/hd-hub-mansarovar/menu
16,majestic,1500000,23,7869,$0,4,62,https://www.zomato.com/bangalore/majestic-restaurants
17,starbucks,1220000,16,13650,$0.98,4,62,https://www.zomato.com/mumbai/starbucks-coffee-chowpatty/order
18,coffee shops near me,823000,4,456000,$0.33,2,22,https://www.zomato.com/cafes-near-me
19,bar near me,1000000,4,370880,$0.20,6,44,https://www.zomato.com/bars-near-me
20,burger king,1000000,12,31232,$0.25,2,48,https://www.zomato.com/mumbai/restaurants/burger-king
21,bars near me,1000000,4,370880,$0.16,6,44,https://www.zomato.com/bars-near-me
22,south india chennai,823000,70,2100,$0.48,1,36,https://www.zomato.com/chennai/restaurants/south-indian
23,indira nagar,823000,7,65900,$0.47,8,50,https://www.zomato.com/bangalore/indiranagar-restaurants
24,indian kolkata,1000000,17,11300,$0.25,1,46,https://www.zomato.com/kolkata/restaurants/north-indian
25,old delhi junction,1220000,24,3300,$0,3,43,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
26,indira nagar in bangalore,823000,16,9100,$0.31,7,37,https://www.zomato.com/bangalore/indiranagar-restaurants
27,que,1000000,12,11300,$0.19,1,34,https://www.zomato.com/lucknow/que-1-gomti-nagar
28,dominos,1000000,10,25600,$0.16,4,62,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi
29,delhi old delhi railway station,1000000,35,2100,$0.08,2,24,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
30,connaught place,823000,81,2100,$0.93,5,49,https://www.zomato.com/ncr/dum-safar-biryani-1-connaught-place-new-delhi/info
31,connaught in delhi,1000000,19,5900,$0.31,3,45,https://www.zomato.com/ncr/connaught-club-house-connaught-place-new-delhi
32,veg cafe near me,1000000,4,304000,$0.23,10,32,https://www.zomato.com/hyderabad/vegetarian-restaurants
33,mcdonald's nearest to me,1000000,9,46900,$0.03,4,46,https://www.zomato.com/ncr/restoranlar/mcdonalds?zone=2&category=2
34,secunderabad jn,1000000,67,2100,$0.10,4,32,https://www.zomato.com/order-food-online-in-train
35,near me mcdonald,1000000,6,97300,$0.03,3,29,https://www.zomato.com/bangalore/restaurants/mcdonalds?landmark_id=781&category=2
36,near me mcd,4400,8,46900,$0.05,4,38,https://www.zomato.com/ncr/restaurants/mcdonalds?subzone=264&category=2
37,terminal 2 airport mumbai,1000000,22,3300,$0.09,6,30,https://www.zomato.com/mumbai/restaurants/in/chhatrapati-shivaji-airport-terminal-2
38,connaught place new delhi india,1000000,15,15000,$0.31,3,33,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
39,connaught place in delhi,1000000,17,5900,$0.31,3,27,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
40,railway station in old delhi,1220000,47,2100,$0.07,3,19,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
41,old delhi railway station delhi,1000000,39,2100,$0.08,2,24,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
42,veg restaurants near me,1000000,5,162000,$0.17,8,57,https://www.zomato.com/hyderabad/vegetarian-restaurants
43,restaurants near me with vegetarian,1000000,5,304000,$0.04,12,23,https://www.zomato.com/restaurants-near-me
44,t's bar and grill,1000000,5,46900,$0.05,1,23,https://www.zomato.com/hyderabad/t-grill-financial-district
45,coffee near me,1000000,5,304000,$0.32,5,44,https://www.zomato.com/cafes-near-me
46,vegetarian restaurants near me,1000000,7,65900,$0.20,10,38,https://www.zomato.com/chandigarh/re%C5%A1taur%C3%A1cie/in/phase-3b2-market-phase-3-mohali?veg=1&cft=2
47,domino's,1000000,18,5600,$0.12,3,66,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi
48,new delhi connaught place,823000,22,4300,$0.28,4,40,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
49,south india bangalore,1000000,25,2700,$0.32,1,49,https://www.zomato.com/bangalore/restaurants/south-indian
50,old delhi railway station,1000000,27,3300,$0.06,4,21,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
51,near me mcdonald's,4400,10,33800,$0.05,4,52,https://www.zomato.com/mumbai/restaurants/mcdonalds?landmark_id=472&category=2
52,shri ganesh,823000,10,19700,$0.50,1,47,https://www.zomato.com/ncr/shri-ganesh-corner-shakarpur-new-delhi
53,secunderabad jn railway station,1000000,70,2100,$0.10,4,25,https://www.zomato.com/order-food-online-in-train
54,connaught delhi,1000000,18,5546,$0.53,4,49,https://www.zomato.com/ncr/connaught-club-house-connaught-place-new-delhi
55,bangalore south india,1000000,65,2100,$0.32,1,50,https://www.zomato.com/bangalore/restaurants/dish-south-indian-breakfast
56,bangalore and bengaluru,1000000,34,2100,$0.13,1,43,https://www.zomato.com/bangalore/restaurants
57,old delhi junction railway station,1220000,33,2100,$0,3,35,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
58,meerut,823000,27,2700,$0.28,1,61,https://www.zomato.com/meerut
59,old railway station delhi,1000000,26,3300,$0.06,4,22,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station
60,mcdonald's near me,1000000,6,97300,$0.14,2,43,https://www.zomato.com/ncr/restoranlar/mcdonalds?zone=2&category=2
61,indiranagar,823000,4,162000,$0.31,7,63,https://www.zomato.com/bangalore/indiranagar-restaurants
62,connaught place new delhi delhi india,823000,34,2100,$0.33,4,20,https://www.zomato.com/ncr/local-connaught-place-new-delhi
63,wine shop,1000000,31,2100,$0.83,1,47,https://www.zomato.com/kolkata/restaurants/dish-wine
64,vegan cafe near me,1000000,9,46900,$0.10,11,38,https://www.zomato.com/dehradun/world-vegan-day
65,ambience mall,673000,21,4197,$1.07,10,51,https://www.zomato.com/ncr/restaurants/in/ambience-mall-dlf-phase-3
66,kfc near me,673000,11,21068,$0.09,12,46,https://www.zomato.com/hyderabad/restaurants/kfc
67,manali indian,823000,28,1892,$0.22,1,35,https://www.zomato.com/manali/restaurants/north-indian
68,justdial,823000,21,2715,$0.50,7,63,https://www.zomato.com/contact
69,panvel,673000,29,1728,$0,5,62,https://www.zomato.com/mumbai/panvel-navi-mumbai-restaurants
70,coffee,1000000,32,1728,$0.12,17,66,https://www.zomato.com/bangalore/coffee
71,kentucky fried chicken near by me,823000,11,27817,$0.08,7,29,https://www.zomato.com/ncr/restaurants/kfc?category=1
72,new delhi karol bagh,823000,51,1728,$0.15,4,30,https://www.zomato.com/ncr/delia-my-bar-headquarters-karol-bagh-new-delhi
73,shop closest to me,823000,6,80077,$0.12,31,22,https://www.zomato.com/sweet-shops-near-me
74,ambience mall gurgaon,673000,6,38598,$1.07,10,46,https://www.zomato.com/ncr/restaurants/in/ambience-mall-dlf-phase-3
75,united fried chicken,673000,4,133326,$0.29,1,21,https://www.zomato.com/vijayawada/ufc-united-fried-chicken-mangalagiri
76,chandni chowk in new delhi,823000,36,1728,$0.12,3,26,https://www.zomato.com/ncr/chandni-chowk-delhi-restaurants
77,near me cake shops,673000,4,204592,$0.11,38,23,https://www.zomato.com/bakeries-near-me
78,cake store near me,673000,4,204592,$0.11,42,21,https://www.zomato.com/bakeries-near-me
79,adyar ananda bhavan a2b,550000,6,65482,$0.21,6,33,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-adyar
80,hebbal,673000,12,7604,$0.20,7,63,https://www.zomato.com/bangalore/hebbal-restaurants
81,foodstuff near me,673000,6,65482,$0.10,12,21,https://www.zomato.com/patiala/order-food-online
82,koramangala,673000,12,10095,$0.67,6,62,https://www.zomato.com/bangalore/koramangala-restaurants/bar
83,cake baking shop near me,673000,5,109026,$0.10,57,60,https://www.zomato.com/bakeries-near-me
84,bhiwandi,550000,36,1413,$0,4,62,https://www.zomato.com/mumbai/bhiwandi-restaurants
85,dwarka,673000,105,1413,$0.12,2,61,https://www.zomato.com/ncr/delivery-in-sector-10-dwarka/dish-salad
86,gurgaon indian,550000,11,22747,$0.14,2,22,https://www.zomato.com/ncr/gurgaon-restaurants/modern-indian
87,chocolate,673000,36,1413,$0.13,66,80,https://www.zomato.com/ncr/1st-crush-chocolates-alaknanda-new-delhi/order
